Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,297/259,24/28,272/227,1/4,-,-
2024,10/8,-,10/8,-,-,-
2023,35/24,-,35/24,-,-,-
2022,24/16,-,24/16,-,-,-
2021,11/14,-,11/14,-,-,-
2020,12/14,1/3,11/11,-,-,-
2019,27/26,3/3,24/21,0/2,-,-
2018,27/28,0/3,26/24,1/1,-,-
2017,37/26,6/3,31/23,-,-,-
2016,28/23,3/1,25/22,-,-,-
2015,43/29,3/4,40/24,0/1,-,-
2014,8/11,2/3,6/8,-,-,-
2013,9/14,5/7,4/7,-,-,-
2012,12/14,1/1,11/13,-,-,-
2011,10/7,-,10/7,-,-,-
2010,2/3,-,2/3,-,-,-
2009,2/2,-,2/2,-,-,-
