Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,282/303,13/14,222/240,29/28,18/21,-
2024,27/23,1/1,24/21,2/1,-,-
2023,21/29,0/1,21/26,-,0/2,-
2022,30/22,-,27/20,2/1,1/1,-
2021,5/11,-,5/11,-,-,-
2020,3/4,-,2/3,-,1/1,-
2019,32/26,-,29/22,3/3,0/1,-
2018,26/23,5/3,16/17,3/1,2/2,-
2017,27/26,-,19/23,8/3,-,-
2016,24/29,2/2,16/22,1/2,5/3,-
2015,15/28,-,14/21,0/2,1/5,-
2014,31/28,2/2,23/20,5/4,1/2,-
2013,23/18,3/5,18/10,1/2,1/1,-
2012,7/9,-,3/6,0/1,4/2,-
2011,5/12,-,2/9,1/2,2/1,-
2010,5/11,-,3/8,2/3,-,-
2009,1/4,-,0/1,1/3,-,-
