Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/36,38/31,-,1/5,-,-
2024,21/13,20/12,-,1/1,-,-
2023,15/16,15/14,-,0/2,-,-
2022,1/6,1/4,-,0/2,-,-
2021,2/1,2/1,-,-,-,-
