Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,243/172,16/14,198/135,13/16,-,16/7
2024,21/22,-,17/14,2/6,-,2/2
2023,35/27,1/3,33/22,1/2,-,-
2022,65/26,3/2,50/20,8/3,-,4/1
2021,17/10,-,16/8,1/2,-,-
2020,4/6,-,3/4,1/2,-,-
2019,32/24,2/3,27/19,0/1,-,3/1
2018,27/15,2/2,24/11,-,-,1/2
2017,13/6,7/1,3/4,-,-,3/1
2016,11/8,-,11/8,-,-,-
2015,4/6,-,4/6,-,-,-
2014,10/10,-,7/10,-,-,3/0
2013,2/5,-,2/5,-,-,-
2012,1/2,1/2,-,-,-,-
2011,1/5,0/1,1/4,-,-,-
