Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,119/74,84/36,11/10,24/28,-,-
2024,31/7,23/2,-,8/5,-,-
2023,48/25,37/16,-,11/9,-,-
2022,12/15,8/7,1/2,3/6,-,-
2021,22/18,16/9,5/5,1/4,-,-
2020,0/2,0/1,-,0/1,-,-
2019,6/6,-,5/3,1/3,-,-
2018,0/1,0/1,-,-,-,-
