Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,389/276,140/83,151/128,62/38,31/24,5/3
2024,30/21,9/6,13/12,1/1,7/2,-
2023,24/20,0/1,18/16,-,6/2,0/1
2022,28/21,6/5,21/13,-,0/3,1/0
2021,23/19,7/4,9/10,1/3,6/2,-
2020,28/23,15/11,12/9,1/3,-,-
2019,25/30,11/7,11/15,1/4,1/3,1/1
2018,36/25,10/8,18/11,4/4,2/2,2/0
2017,26/25,10/6,10/11,4/4,1/3,1/1
2016,49/24,19/7,17/12,8/2,5/3,-
2015,27/28,7/7,7/11,10/7,3/3,-
2014,44/24,17/8,8/7,19/8,0/1,-
2013,42/13,22/10,7/1,13/2,-,-
2012,7/3,7/3,-,-,-,-
