Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Hua Hin 2 (Thailand),hard,header
16.09. 15:15,Siniakova K.,2,7,6,,,,3,6,57%,69% (24/35),58% (15/26),60% (3/5),38% (13/34),71% (17/24),83% (5/6),6,64% (39/61),52% (30/58),58% (69/119),4,80% (8/10),56% (5/9),68% (13/19),"['4', '4', '7', '5']","['2', '0', '3', '1', '5', '1']",[],[],[],1.19
16.09. 15:15,Rodionova Ar.,0,5,1,,,,2,4,59%,62% (21/34),29% (7/24),17% (1/6),31% (11/35),42% (11/26),40% (2/5),6,48% (28/58),36% (22/61),42% (50/119),2,44% (4/9),20% (2/10),32% (6/19),"['4', '3']","['1', '2']",[],[],[],4.75
WTA - SINGLES :  US Open (USA),hard,header
27.08. 01:35,Siniakova K.,0,4,1,,,,0,11,52%,66% (21/32),33% (10/30),50% (5/10),31% (11/36),33% (4/12),50% (1/2),11,29,50% (3/6),6,50% (31/62),31% (15/48),42% (46/110),1,44% (4/9),13% (1/8),29% (5/17),[],"['1', '1']",[],[],[],3.00
27.08. 01:35,Keys M.,2,6,6,,,,1,3,75%,69% (25/36),67% (8/12),50% (1/2),34% (11/32),67% (20/30),50% (5/10),17,20,83% (5/6),8,69% (33/48),50% (31/62),58% (64/110),5,88% (7/8),56% (5/9),71% (12/17),"['3', '2']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.40
WTA - SINGLES :  Cleveland (USA),hard,header
24.08. 05:40,Siniakova K.,1,3,6,2,,,1,10,63%,66% (42/64),42% (16/38),69% (9/13),24% (10/42),50% (15/30),100% (3/3),6,57% (58/102),35% (25/72),48% (83/174),3,67% (8/12),23% (3/13),44% (11/25),"['1', '2']","['3', '1', '6', '2']",[],[],[],2.29
24.08. 05:40,Haddad Maia B.,2,6,2,6,,,5,1,58%,76% (32/42),50% (15/30),0% (0/3),34% (22/64),58% (22/38),31% (4/13),6,65% (47/72),43% (44/102),52% (91/174),5,77% (10/13),33% (4/12),56% (14/25),"['2', '0', '5', '3']",[],"['2', '1', '4', '1']",[],[],1.63
23.08. 04:10,Siniakova K.,2,1,6,6,,,0,9,50%,50% (19/38),42% (16/38),22% (2/9),48% (26/54),58% (18/31),70% (7/10),7,46% (35/76),52% (44/84),49% (79/160),7,46% (6/13),54% (7/13),50% (13/26),"['1', '0']","['1', '3', '3', '3', '5', '3']","['1', '0', '4', '3', '5', '4']",[],[],2.51
23.08. 04:10,Stearns P.,1,6,3,4,,,0,3,64%,52% (28/54),42% (13/31),30% (3/10),50% (19/38),58% (22/38),78% (7/9),7,48% (40/84),54% (41/76),51% (81/160),9,46% (6/13),54% (7/13),50% (13/26),"['1', '1', '3', '1', '5', '1']","['1', '0', '3', '0']","['1', '1', '4', '4']",[],[],1.54
22.08. 00:50,Siniakova K.,2,2,6,7^7,,,1,13,63%,54% (38/71),36% (15/42),36% (5/14),37% (26/71),70% (32/46),42% (8/19),5,47% (53/113),50% (58/117),48% (111/230),3,40% (6/15),53% (8/15),47% (14/30),"['2', '4']","['1', '1', '2', '2', '3', '3', '5', '3', '6', '4']","['2', '2', '5', '5']",[],[],1.61
22.08. 00:50,Bouzas Maneiro J.,1,6,4,6^2,,,1,8,61%,63% (45/71),30% (14/46),58% (11/19),46% (33/71),64% (27/42),64% (9/14),9,50% (59/117),53% (60/113),52% (119/230),4,47% (7/15),60% (9/15),53% (16/30),"['1', '0', '3', '0', '5', '2']","['1', '0', '2', '1', '3', '2', '4', '5']","['2', '1', '4', '3']",[],[],2.35
20.08. 20:40,Siniakova K.,2,6^5,6,7^7,,,10,10,62%,66% (48/73),53% (24/45),64% (9/14),42% (28/67),49% (22/45),50% (6/12),7,61% (72/118),45% (50/112),53% (122/230),4,71% (12/17),38% (6/16),55% (18/33),"['1', '0', '5', '4']","['4', '2', '5', '3']","['2', '5', '4', '5']",[],[],1.15
20.08. 20:40,Ishii S.,1,7^7,3,6^5,,,0,5,60%,58% (39/67),51% (23/45),50% (6/12),34% (25/73),47% (21/45),36% (5/14),6,55% (62/112),39% (46/118),47% (108/230),3,63% (10/16),29% (5/17),45% (15/33),"['1', '1', '5', '5']","['3', '4']","['2', '0', '5', '1']",[],[],5.55
