Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/19,7/10,-,-,-,15/9
2024,7/5,7/5,-,-,-,-
2023,5/5,-,-,-,-,5/5
2022,6/6,0/3,-,-,-,6/3
2021,4/2,0/1,-,-,-,4/1
2020,0/1,0/1,-,-,-,-
