https://www.tennisexplorer.com/res/img/player/YwqC6WEm-dzcycBdp.jpeg
Bovio Martina Maria
Country: Argentina
Current/Highest rank - singles: 1236. / 1222.
Current/Highest rank - doubles: - / 1281.
Sex: woman
Plays: right
