Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,57/36,46/26,11/10,-,-,-
2024,36/20,29/16,7/4,-,-,-
2023,12/7,9/5,3/2,-,-,-
2022,7/6,6/4,1/2,-,-,-
2021,0/2,-,0/2,-,-,-
2020,2/1,2/1,-,-,-,-
