Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,569/404,424/265,107/73,33/50,3/11,2/5
2024,41/22,38/16,3/5,-,0/1,-
2023,31/40,27/32,1/3,3/3,0/1,0/1
2022,40/29,35/18,3/6,2/4,0/1,-
2021,32/30,26/22,0/1,6/6,0/1,-
2020,18/17,16/12,2/3,0/1,-,0/1
2019,34/28,32/18,1/4,1/4,0/2,-
2018,39/22,32/14,2/4,5/2,0/1,0/1
2017,37/35,26/23,5/7,4/3,1/1,1/1
2016,50/36,29/18,12/10,6/6,2/1,1/1
2015,29/34,26/20,1/4,2/9,0/1,-
2014,63/27,36/15,25/7,2/5,-,-
2013,36/25,31/22,5/2,-,0/1,-
2012,48/24,36/16,11/6,1/2,-,-
2011,58/23,26/12,32/10,0/1,-,-
2010,9/6,5/4,4/1,0/1,-,-
2009,3/2,2/1,-,1/1,-,-
2008,1/3,1/2,-,0/1,-,-
2007,0/1,-,-,0/1,-,-
