Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,264/122,166/75,96/44,2/2,0/1,-
2024,23/19,17/14,6/4,-,0/1,-
2023,62/27,43/17,17/9,2/1,-,-
2022,52/25,38/17,14/8,-,-,-
2021,52/23,29/12,23/11,-,-,-
2020,15/1,-,15/1,-,-,-
2019,16/9,7/2,9/7,-,-,-
2018,16/6,4/1,12/4,0/1,-,-
2017,8/5,8/5,-,-,-,-
2016,20/7,20/7,-,-,-,-
