Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.06.,Lys E.,2,,,,,,2,3,79%,63% (52/83),32% (7/22),57% (8/14),42% (25/60),64% (23/36),62% (8/13),45,43,80% (4/5),56% (59/105),50% (49/98),53% (107/203),7,0,60% (9/15),53% (8/15),57% (17/30),3546,"['1', '0', '4', '3']","['1', '0', '2', '1', '5', '4']","['1', '0', '4', '1', '5', '2']",[],[],2.02
30.06.,Yuan Y.,1,,,,,,1,3,63%,58% (35/60),36% (13/36),38% (5/13),37% (31/83),68% (15/22),43% (6/14),17,34,63% (5/8),50% (49/98),44% (46/105),46% (94/203),3,2,47% (7/15),40% (6/15),43% (13/30),3195,"['2', '2']","['1', '1', '4', '4', '5', '5', '7', '5']","['2', '4']",[],[],1.82
21.06.,Baptiste H.,2,,,,,,5,4,60%,71% (36/51),50% (17/34),89% (8/9),34% (13/38),52% (14/27),33% (3/9),62% (53/85),42% (27/65),53% (80/150),5,0,91% (10/11),30% (3/10),62% (13/21),"['2', '0', '7', '5']","['3', '1']",[],[],[],1.70
21.06.,Yuan Y.,0,,,,,,2,1,58%,66% (25/38),48% (13/27),67% (6/9),29% (15/51),50% (17/34),11% (1/9),58% (38/65),38% (32/85),47% (70/150),5,2,70% (7/10),9% (1/11),38% (8/21),"['1', '2']",[],[],[],[],2.15
13.06.,Mertens E.,2,,,,,,5,4,53%,81% (21/26),52% (12/23),80% (4/5),46% (16/35),67% (14/21),83% (5/6),67% (33/49),54% (30/56),60% (63/105),8,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '5', '0']","['1', '0', '5', '4']",[],[],[],1.23
13.06.,Yuan Y.,0,,,,,,0,2,63%,54% (19/35),33% (7/21),17% (1/6),19% (5/26),48% (11/23),20% (1/5),46% (26/56),33% (16/49),40% (42/105),2,0,38% (3/8),13% (1/8),25% (4/16),[],"['2', '2']",[],[],[],4.24
12.06.,Yuan Y.,2,,,,,,5,2,68%,68% (32/47),36% (8/22),40% (2/5),43% (21/49),75% (15/20),50% (5/10),58% (40/69),52% (36/69),55% (76/138),7,0,70% (7/10),56% (5/9),63% (12/19),"['2', '2', '3', '3', '6', '4']","['2', '0', '5', '3']",[],[],[],2.29
12.06.,Birrell K.,0,,,,,,2,4,71%,57% (28/49),25% (5/20),50% (5/10),32% (15/47),64% (14/22),60% (3/5),48% (33/69),42% (29/69),45% (62/138),3,1,44% (4/9),30% (3/10),37% (7/19),"['2', '1', '3', '2']","['3', '4']",[],[],[],1.64
09.06.,Yuan Y.,2,,,,,,1,0,74%,80% (28/35),50% (6/12),50% (1/2),36% (15/42),67% (16/24),27% (4/15),72% (34/47),47% (32/68),57% (66/115),8,0,89% (8/9),44% (4/9),67% (12/18),"['1', '1', '4', '2']","['4', '3', '6', '3']",[],[],[],-
09.06.,Sevastova A.,0,,,,,,4,4,64%,64% (27/42),33% (8/24),73% (11/15),20% (7/35),50% (6/12),50% (1/2),53% (36/68),28% (13/47),43% (49/115),2,1,56% (5/9),11% (1/9),33% (6/18),"['1', '0']",[],[],[],[],-
08.06.,Branstine C.,2,,,,,,8,2,64%,73% (27/37),38% (8/21),0% (0/1),40% (16/40),72% (13/18),29% (2/7),69% (18/26),49% (17/35),57% (35/61),6,0,80% (4/5),40% (2/5),60% (6/10),[],[],[],[],[],2.42
08.06.,Yuan Y.,0,,,,,,0,2,69%,60% (24/40),28% (5/18),71% (5/7),27% (10/37),48% (10/21),100% (1/1),51% (18/35),31% (8/26),43% (26/61),4,0,60% (3/5),20% (1/5),40% (4/10),[],[],[],[],[],1.57
07.06.,Yuan Y.,2,,,,,,1,0,72%,82% (36/44),71% (12/17),0% (0/0),30% (14/47),39% (7/18),25% (1/4),79% (48/61),32% (21/65),55% (69/126),6,0,100% (11/11),9% (1/11),55% (12/22),[],"['1', '0']",[],[],[],1.02
07.06.,De Zeeuw J.,0,,,,,,5,2,72%,70% (33/47),61% (11/18),75% (3/4),18% (8/44),29% (5/17),0% (0/0),68% (44/65),21% (13/61),45% (57/126),4,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],10.70
25.05.,Paolini J.,2,,,,,,1,1,78%,61% (33/54),67% (10/15),58% (7/12),151 km/h,129 km/h,53% (27/51),57% (13/23),80% (8/10),28,25,73% (8/11),62% (43/69),54% (40/74),58% (83/143),10,0,62% (8/13),62% (8/13),62% (16/26),"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '2']","['2', '0', '3', '3', '5', '3']",[],[],1.03
25.05.,Yuan Y.,1,,,,,,0,1,69%,47% (24/51),43% (10/23),20% (2/10),151 km/h,124 km/h,39% (21/54),33% (5/15),42% (5/12),23,39,57% (4/7),46% (34/74),38% (26/69),42% (60/143),0,0,38% (5/13),38% (5/13),38% (10/26),"['1', '5']","['2', '1', '3', '2']","['1', '2', '3', '2']",[],[],12.90
