Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,629/396,528/292,48/56,37/31,2/5,14/12
2024,5/10,5/10,-,-,-,-
2023,22/43,20/32,1/7,0/1,1/1,0/2
2022,58/36,51/27,3/8,-,1/1,3/0
2021,40/29,30/17,8/9,2/2,0/1,-
2020,12/18,6/7,3/4,3/7,-,-
2019,51/26,48/22,2/4,-,-,1/0
2018,42/31,34/22,8/8,-,-,0/1
2017,21/15,18/12,2/1,1/2,-,-
2016,33/25,29/18,1/4,2/1,-,1/2
2015,45/20,39/17,0/1,4/2,-,2/0
2014,50/25,27/17,11/2,10/4,-,2/2
2013,73/23,65/20,1/1,6/2,-,1/0
2012,16/26,10/15,1/4,3/3,0/2,2/2
2011,57/19,54/16,3/1,0/1,-,0/1
2010,32/23,25/16,-,5/5,-,2/2
2009,48/19,43/16,4/2,1/1,-,-
2008,24/8,24/8,-,-,-,-
