Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,475/281,175/112,108/85,152/64,38/19,2/1
2024,23/22,1/7,14/11,3/1,5/3,-
2023,33/21,6/5,17/13,0/1,10/2,-
2022,38/18,13/5,12/10,7/2,6/1,-
2021,27/23,6/5,10/9,8/7,3/2,-
2020,22/19,6/9,9/4,5/5,-,2/1
2019,44/27,3/7,16/12,20/4,5/4,-
2018,33/26,8/7,7/10,15/5,3/4,-
2017,36/27,6/10,15/11,13/4,2/2,-
2016,54/23,18/9,4/4,28/9,4/1,-
2015,39/21,29/13,-,10/8,-,-
2014,37/17,24/9,-,13/8,-,-
2013,49/16,21/10,4/1,24/5,-,-
2012,29/14,25/10,-,4/4,-,-
2011,11/7,9/6,-,2/1,-,-
