Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,Khachanov K.,3,,,,,,19,6,56%,83% (58/70),51% (28/55),80% (8/10),33% (21/63),50% (33/66),88% (7/8),58,46,81% (17/21),69% (86/125),42% (54/129),55% (140/254),8,0,90% (18/20),35% (7/20),63% (25/40),2746,"['1', '0']","['5', '3']","['2', '3', '6', '5']","['2', '1', '4', '1', '6', '1']",[],1.29
25.08.,Basavareddy N.,1,,,,,,3,5,49%,67% (42/63),50% (33/66),13% (1/8),17% (12/70),49% (27/55),20% (2/10),23,43,63% (20/32),58% (75/129),31% (39/125),45% (114/254),2,0,65% (13/20),10% (2/20),38% (15/40),2724,"['2', '2']",[],"['3', '1']",[],[],4.03
18.08.,Basavareddy N.,2,,,,,,4,7,54%,80% (32/40),59% (20/34),100% (1/1),24% (10/41),64% (16/25),40% (2/5),20,29,92% (11/12),70% (52/74),39% (26/66),56% (78/140),8,0,100% (10/10),20% (2/10),60% (12/20),"['2', '1', '5', '2']",[],[],[],[],1.16
18.08.,Collignon R.,0,,,,,,4,9,62%,76% (31/41),36% (9/25),60% (3/5),20% (8/40),41% (14/34),0% (0/1),13,32,57% (4/7),61% (40/66),30% (22/74),44% (62/140),2,1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],17.5
17.08.,Basavareddy N.,2,,,,,,5,3,57%,83% (24/29),55% (12/22),50% (1/2),34% (14/41),59% (20/34),36% (4/11),27,7,63% (5/8),71% (36/51),45% (33/73),56% (69/124),8,0,89% (8/9),40% (4/10),63% (12/19),"['2', '1']","['1', '0', '3', '2', '6', '3']",[],[],[],1.63
17.08.,Schoolkate T.,0,,,,,,6,3,55%,66% (27/41),41% (14/34),64% (7/11),17% (5/29),45% (10/22),50% (1/2),27,13,50% (7/14),55% (40/73),29% (15/51),44% (55/124),2,0,60% (6/10),11% (1/9),37% (7/19),[],"['1', '1']",[],[],[],21.5
16.08.,Basavareddy N.,2,,,,,,8,1,64%,88% (22/25),57% (8/14),100% (1/1),45% (13/29),80% (12/15),83% (5/6),21,7,100% (9/9),77% (30/39),57% (25/44),66% (55/83),8,0,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.56
16.08.,Rybakov A.,0,,,,,,7,3,66%,55% (16/29),20% (3/15),17% (1/6),12% (3/25),43% (6/14),0% (0/1),16,18,56% (5/9),43% (19/44),23% (9/39),34% (28/83),2,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],19.5
11.08.,Zverev A.,2,,,,,,12,1,82%,78% (32/41),44% (4/9),0% (0/0),206 km/h,172 km/h,31% (8/26),52% (13/25),100% (3/3),20,10,75% (3/4),72% (36/50),41% (21/51),56% (57/101),5,0,100% (9/9),33% (3/9),67% (12/18),"['3', '2', '6', '3']","['4', '2']",[],[],[],1.14
11.08.,Basavareddy N.,0,,,,,,1,4,51%,69% (18/26),48% (12/25),0% (0/3),187 km/h,159 km/h,22% (9/41),56% (5/9),0% (0/0),12,15,75% (9/12),59% (30/51),28% (14/50),44% (44/101),5,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],16.5
09.08.,Basavareddy N.,2,,,,,,10,4,64%,64% (30/47),70% (19/27),33% (1/3),190 km/h,160 km/h,26% (11/42),55% (22/40),50% (3/6),19,26,64% (7/11),66% (49/74),39% (32/82),52% (81/156),8,0,83% (10/12),25% (3/12),54% (13/24),"['5', '4']","['4', '4', '7', '5']",[],[],[],1.24
09.08.,Vukic A.,0,,,,,,13,2,51%,76% (32/42),45% (18/40),50% (3/6),188 km/h,164 km/h,38% (18/47),30% (8/27),67% (2/3),35,32,20% (1/5),61% (50/82),34% (25/74),48% (75/156),2,1,75% (9/12),17% (2/12),46% (11/24),"['5', '5']","['1', '0']",[],[],[],19.5
01.08.,Svajda Z.,2,,,,,,7,3,54%,69% (33/48),54% (22/41),71% (10/14),36% (16/45),43% (15/35),60% (3/5),30,41,86% (12/14),62% (55/89),39% (31/80),51% (86/169),6,0,73% (11/15),21% (3/14),48% (14/29),[],"['6', '5']","['2', '1', '4', '1']",[],[],1.73
01.08.,Basavareddy N.,1,,,,,,4,3,56%,67% (30/45),57% (20/35),40% (2/5),35% (17/48),46% (19/41),29% (4/14),18,32,56% (5/9),61% (49/80),38% (34/89),49% (83/169),4,0,79% (11/14),27% (4/15),52% (15/29),"['1', '0', '3', '0', '6', '1']",[],"['3', '5']",[],[],2.02
30.07.,Basavareddy N.,2,,,,,,5,2,63%,84% (27/32),47% (9/19),83% (5/6),36% (10/28),65% (20/31),63% (5/8),11,16,100% (1/1),71% (36/51),51% (30/59),60% (66/110),6,0,89% (8/9),56% (5/9),72% (13/18),"['1', '0', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.34
30.07.,Kachmazov A.,0,,,,,,5,5,47%,64% (18/28),35% (11/31),38% (3/8),16% (5/32),53% (10/19),17% (1/6),15,36,67% (4/6),49% (29/59),29% (15/51),40% (44/110),4,2,44% (4/9),11% (1/9),28% (5/18),"['1', '1']",[],[],[],[],3.26
28.07.,Basavareddy N.,2,,,,,,6,1,56%,71% (20/28),68% (15/22),50% (1/2),37% (13/35),65% (17/26),36% (4/11),11,12,80% (4/5),70% (35/50),49% (30/61),59% (65/111),5,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '4', '3', '6', '3']","['3', '1']",[],[],[],1.33
28.07.,Pacheco Mendez R.,0,,,,,,5,4,57%,63% (22/35),35% (9/26),64% (7/11),29% (8/28),32% (7/22),50% (1/2),4,21,50% (1/2),51% (31/61),30% (15/50),41% (46/111),5,3,56% (5/9),11% (1/9),33% (6/18),"['3', '3']",[],[],[],[],3.15
22.07.,Hsu Y. H.,2,,,,,,8,1,64%,86% (30/35),55% (11/20),0% (0/0),34% (15/44),57% (12/21),33% (2/6),30,18,90% (9/10),75% (41/55),42% (27/65),57% (68/120),5,0,100% (10/10),22% (2/9),63% (12/19),"['4', '2']","['4', '3']",[],[],[],3.33
22.07.,Basavareddy N.,0,,,,,,2,1,68%,66% (29/44),43% (9/21),67% (4/6),14% (5/35),45% (9/20),0% (0/0),11,18,75% (9/12),58% (38/65),25% (14/55),43% (52/120),5,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.30
17.07.,Walton A.,2,,,,,,1,0,60%,79% (19/24),69% (11/16),100% (3/3),55% (12/22),75% (15/20),50% (5/10),14,7,60% (3/5),75% (30/40),64% (27/42),70% (57/82),7,0,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '4', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],2.33
17.07.,Basavareddy N.,0,,,,,,1,4,52%,45% (10/22),25% (5/20),50% (5/10),21% (5/24),31% (5/16),0% (0/3),12,31,25% (1/4),36% (15/42),25% (10/40),30% (25/82),3,0,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],1.61
16.07.,Basavareddy N.,2,,,,,,5,1,52%,78% (18/23),71% (15/21),100% (1/1),42% (13/31),52% (12/23),67% (4/6),16,17,89% (8/9),75% (33/44),46% (25/54),59% (58/98),8,0,100% (8/8),44% (4/9),71% (12/17),"['5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],1.31
16.07.,Mejia N.,0,,,,,,3,1,57%,58% (18/31),48% (11/23),33% (2/6),22% (5/23),29% (6/21),0% (0/1),14,22,88% (7/8),54% (29/54),25% (11/44),41% (40/98),2,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],3.53
30.06.,Tien L.,3,,,,,,8,5,59%,79% (44/56),67% (26/39),83% (5/6),32% (18/57),56% (20/36),36% (4/11),43,24,60% (12/20),74% (70/95),41% (39/95),57% (108/190),6,0,93% (14/15),29% (4/14),62% (18/29),1788,"['4', '5']","['2', '0']","['2', '1', '4', '1']",[],[],1.46
30.06.,Basavareddy N.,0,,,,,,4,2,61%,68% (39/57),44% (16/36),64% (7/11),21% (12/56),33% (13/39),17% (1/6),24,32,53% (18/34),59% (56/95),26% (25/95),42% (80/190),4,0,71% (10/14),7% (1/15),38% (11/29),1909,"['2', '0']",[],[],[],[],2.78
23.06.,Medjedovic H.,2,,,,,,11,2,55%,74% (17/23),79% (15/19),0% (0/0),38% (11/29),57% (13/23),67% (4/6),30,16,67% (2/3),76% (32/42),46% (24/52),60% (56/94),7,0,100% (8/8),50% (4/8),75% (12/16),"['2', '0', '4', '0', '6', '0']","['6', '4']",[],[],[],1.66
23.06.,Basavareddy N.,0,,,,,,2,2,56%,62% (18/29),43% (10/23),33% (2/6),26% (6/23),21% (4/19),0% (0/0),11,16,50% (4/8),54% (28/52),24% (10/42),40% (38/94),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.24
22.06.,Basavareddy N.,2,,,,,,4,2,44%,87% (20/23),48% (14/29),33% (1/3),52% (12/23),68% (13/19),71% (5/7),15,14,75% (6/8),65% (34/52),60% (25/42),63% (59/94),8,0,78% (7/9),63% (5/8),71% (12/17),"['1', '1', '3', '1', '5', '1']","['4', '3', '5', '4']",[],[],[],1.52
22.06.,Navone M.,0,,,,,,1,4,55%,48% (11/23),32% (6/19),29% (2/7),13% (3/23),52% (15/29),67% (2/3),11,23,60% (3/5),40% (17/42),35% (18/52),37% (35/94),2,0,38% (3/8),22% (2/9),29% (5/17),"['1', '0']","['4', '4']",[],[],[],2.54
21.06.,Basavareddy N.,2,,,,,,2,8,56%,63% (45/72),61% (34/56),77% (10/13),28% (20/71),61% (34/56),38% (5/13),37,42,78% (25/32),62% (79/128),43% (54/127),52% (133/255),8,0,82% (14/17),29% (5/17),56% (19/34),"['4', '3']","['2', '3']","['2', '2', '3', '3', '7', '5']",[],[],2.10
21.06.,Van De Zandschulp B.,1,,,,,,15,11,56%,72% (51/71),39% (22/56),62% (8/13),38% (27/72),39% (22/56),23% (3/13),47,55,72% (18/25),57% (73/127),38% (49/128),48% (122/255),2,4,71% (12/17),18% (3/17),44% (15/34),[],"['3', '1']","['2', '1', '3', '2']",[],[],1.74
09.06.,Borges N.,2,,,,,,12,1,79%,86% (36/42),55% (6/11),67% (2/3),35% (13/37),53% (17/32),43% (3/7),28,18,80% (8/10),80% (43/54),43% (30/69),59% (73/123),8,0,90% (9/10),30% (3/10),60% (12/20),"['3', '4']","['4', '2', '6', '2']",[],[],[],1.50
09.06.,Basavareddy N.,0,,,,,,2,7,54%,65% (24/37),47% (15/32),57% (4/7),14% (6/42),45% (5/11),33% (1/3),11,25,50% (4/8),57% (39/69),20% (11/54),41% (50/123),2,0,70% (7/10),10% (1/10),40% (8/20),"['3', '1']",[],[],[],[],2.63
19.05.,Collarini A.,2,,,,,,2,3,71%,73% (48/66),63% (17/27),0% (0/2),28% (21/74),51% (18/35),50% (3/6),29,35,65% (13/20),70% (65/93),36% (39/109),51% (104/202),7,0,88% (15/17),18% (3/17),53% (18/34),"['6', '5']","['2', '1']","['5', '4']",[],[],2.04
19.05.,Basavareddy N.,1,,,,,,10,4,68%,72% (53/74),49% (17/35),50% (3/6),27% (18/66),37% (10/27),100% (2/2),36,33,62% (13/21),64% (70/109),30% (28/93),49% (98/202),3,0,82% (14/17),12% (2/17),47% (16/34),[],"['3', '3', '7', '5']",[],[],[],1.78
14.05.,Hijikata R.,2,,,,,,1,1,63%,63% (38/60),60% (21/35),67% (6/9),28% (15/54),57% (21/37),50% (5/10),42,38,85% (11/13),62% (59/95),40% (36/91),51% (95/186),7,0,79% (11/14),33% (5/15),55% (16/29),"['1', '2', '3', '2', '6', '3']",[],"['4', '2', '6', '4']",[],[],2.53
14.05.,Basavareddy N.,1,,,,,,3,4,59%,72% (39/54),43% (16/37),50% (5/10),37% (22/60),40% (14/35),33% (3/9),22,27,52% (11/21),60% (55/91),38% (36/95),49% (91/186),3,0,67% (10/15),21% (3/14),45% (13/29),"['2', '0']","['5', '4']","['3', '4']",[],[],1.48
06.05.,Kopriva V.,2,,,,,,5,0,56%,77% (23/30),63% (15/24),0% (0/0),43% (13/30),44% (14/32),60% (3/5),28,26,78% (7/9),70% (38/54),44% (27/62),56% (65/116),5,0,100% (9/9),33% (3/9),67% (12/18),"['2', '1']","['2', '1', '4', '1']",[],[],[],1.45
06.05.,Basavareddy N.,0,,,,,,1,3,48%,57% (17/30),56% (18/32),40% (2/5),23% (7/30),38% (9/24),0% (0/0),11,21,50% (2/4),56% (35/62),30% (16/54),44% (51/116),5,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.63
05.05.,Basavareddy N.,2,,,,,,6,5,69%,67% (47/70),44% (14/32),100% (16/16),35% (14/40),53% (10/19),50% (3/6),33,38,63% (5/8),60% (61/102),41% (24/59),53% (85/161),7,0,100% (10/10),33% (3/9),68% (13/19),"['7', '5']","['3', '1', '5', '1']",[],[],[],1.25
05.05.,Krueger M.,0,,,,,,4,0,68%,65% (26/40),47% (9/19),50% (3/6),33% (23/70),56% (18/32),0% (0/16),26,32,67% (12/18),59% (35/59),40% (41/102),47% (76/161),3,1,67% (6/9),0% (0/10),32% (6/19),[],[],[],[],[],3.70
02.05.,Wawrinka S.,2,,,,,,8,2,59%,80% (32/40),50% (14/28),50% (1/2),34% (17/50),57% (23/40),50% (3/6),68% (46/68),44% (40/90),54% (86/158),6,0,90% (9/10),27% (3/11),57% (12/21),"['2', '2']","['2', '1', '6', '3']",[],[],[],1.57
02.05.,Basavareddy N.,0,,,,,,1,5,56%,66% (33/50),43% (17/40),50% (3/6),20% (8/40),50% (14/28),50% (1/2),56% (50/90),32% (22/68),46% (72/158),4,1,73% (8/11),10% (1/10),43% (9/21),"['1', '0']",[],[],[],[],2.42
01.05.,Basavareddy N.,2,,,,,,5,4,56%,78% (32/41),53% (17/32),67% (2/3),27% (13/48),65% (17/26),60% (3/5),67% (49/73),41% (30/74),54% (79/147),7,0,92% (11/12),25% (3/12),58% (14/24),"['1', '2', '6', '5']","['6', '5']",[],[],[],2.21
01.05.,Ramos A.,0,,,,,,2,1,65%,73% (35/48),35% (9/26),40% (2/5),22% (9/41),47% (15/32),33% (1/3),59% (44/74),33% (24/73),46% (68/147),3,0,75% (9/12),8% (1/12),42% (10/24),"['2', '0']",[],[],[],[],1.62
29.04.,Basavareddy N.,2,,,,,,3,6,59%,74% (40/54),54% (20/37),75% (3/4),22% (8/36),47% (18/38),33% (2/6),66% (60/91),35% (26/74),52% (86/165),7,0,92% (11/12),17% (2/12),54% (13/24),"['7', '5']","['2', '0']",[],[],[],1.90
29.04.,Virtanen O.,0,,,,,,7,4,49%,78% (28/36),53% (20/38),67% (4/6),26% (14/54),46% (17/37),25% (1/4),65% (48/74),34% (31/91),48% (79/165),3,1,83% (10/12),8% (1/12),46% (11/24),[],"['1', '2']",[],[],[],1.82
21.04.,Moller E.,2,,,,,,4,1,55%,77% (20/26),43% (9/21),67% (2/3),46% (13/28),73% (22/30),60% (6/10),21,6,75% (3/4),62% (29/47),60% (35/58),61% (64/105),7,0,86% (6/7),86% (6/7),86% (12/14),"['3', '1', '5', '1']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.38
21.04.,Basavareddy N.,0,,,,,,0,10,48%,54% (15/28),27% (8/30),40% (4/10),23% (6/26),57% (12/21),33% (1/3),13,19,57% (4/7),40% (23/58),38% (18/47),39% (41/105),3,1,14% (1/7),14% (1/7),14% (2/14),[],"['1', '1']",[],[],[],3.04
08.04.,Sachko V.,2,,,,,,4,2,66%,68% (40/59),50% (15/30),80% (8/10),41% (23/56),44% (12/27),33% (4/12),62% (55/89),42% (35/83),52% (90/172),7,0,85% (11/13),31% (4/13),58% (15/26),[],"['2', '0', '4', '0']","['2', '1', '5', '4']",[],[],2.08
08.04.,Basavareddy N.,1,,,,,,8,4,67%,59% (33/56),56% (15/27),67% (8/12),32% (19/59),50% (15/30),20% (2/10),58% (48/83),38% (34/89),48% (82/172),3,0,69% (9/13),15% (2/13),42% (11/26),"['3', '1']",[],"['3', '3']",[],[],1.70
31.03.,Jianu F. C.,2,,,,,,0,0,81%,67% (28/42),60% (6/10),60% (3/5),167 km/h,158 km/h,32% (9/28),67% (20/30),83% (5/6),13,14,86% (12/14),65% (34/52),50% (29/58),57% (63/110),7,0,78% (7/9),50% (5/10),63% (12/19),"['3', '2', '6', '3']","['3', '3', '4', '4', '6', '4']",[],[],[],2.29
31.03.,Basavareddy N.,0,,,,,,1,2,48%,68% (19/28),33% (10/30),17% (1/6),186 km/h,155 km/h,33% (14/42),40% (4/10),40% (2/5),24,30,88% (7/8),50% (29/58),35% (18/52),43% (47/110),3,1,50% (5/10),22% (2/9),37% (7/19),[],"['1', '0', '4', '3']",[],[],[],1.64
05.03.,Bu Y.,2,,,,,,1,1,53%,82% (27/33),59% (17/29),0% (0/1),186 km/h,193 km/h,22% (8/37),61% (19/31),43% (3/7),18,19,100% (6/6),71% (44/62),40% (27/68),55% (71/130),6,0,91% (10/11),27% (3/11),59% (13/22),"['1', '0', '6', '5']","['1', '0']",[],[],[],2.52
05.03.,Basavareddy N.,0,,,,,,3,4,54%,78% (29/37),39% (12/31),57% (4/7),188 km/h,173 km/h,18% (6/33),41% (12/29),100% (1/1),17,36,63% (5/8),60% (41/68),29% (18/62),45% (59/130),4,0,73% (8/11),9% (1/11),41% (9/22),"['5', '5']",[],[],[],[],1.53
26.02.,Shapovalov D.,2,,,,,,6,9,46%,77% (20/26),55% (17/31),60% (3/5),45% (21/47),59% (16/27),42% (5/12),65% (37/57),50% (37/74),56% (74/131),8,0,80% (8/10),50% (5/10),65% (13/20),"['3', '1', '5', '5', '7', '5']","['2', '0', '6', '2']",[],[],[],1.70
26.02.,Basavareddy N.,0,,,,,,1,2,64%,55% (26/47),41% (11/27),58% (7/12),23% (6/26),45% (14/31),40% (2/5),50% (37/74),35% (20/57),44% (57/131),2,0,50% (5/10),20% (2/10),35% (7/20),"['2', '3', '5', '4']",[],[],[],[],2.17
24.02.,Basavareddy N.,2,,,,,,1,3,65%,72% (26/36),53% (10/19),50% (1/2),47% (17/36),50% (10/20),36% (4/11),65% (36/55),48% (27/56),57% (63/111),4,0,89% (8/9),44% (4/9),67% (12/18),"['3', '2', '5', '2']","['1', '0', '2', '1']",[],[],[],1.09
24.02.,Kozlov S.,0,,,,,,0,2,64%,53% (19/36),50% (10/20),64% (7/11),28% (10/36),47% (9/19),50% (1/2),52% (29/56),35% (19/55),43% (48/111),6,0,56% (5/9),11% (1/9),33% (6/18),[],"['1', '1']",[],[],[],6.99
23.02.,Basavareddy N.,2,,,,,,7,5,48%,72% (18/25),63% (17/27),67% (2/3),42% (10/24),52% (11/21),80% (4/5),67% (35/52),47% (21/45),58% (56/97),8,0,89% (8/9),44% (4/9),67% (12/18),"['4', '3']","['2', '1', '4', '1', '5', '2']",[],[],[],1.40
23.02.,Duckworth J.,0,,,,,,8,2,53%,58% (14/24),48% (10/21),20% (1/5),28% (7/25),37% (10/27),33% (1/3),53% (24/45),33% (17/52),42% (41/97),2,0,56% (5/9),11% (1/9),33% (6/18),[],"['2', '4']",[],[],[],2.81
13.01.,Djokovic N.,3,,,,,,23,4,68%,78% (56/72),62% (21/34),67% (2/3),28% (20/71),55% (32/58),36% (4/11),51,41,82% (14/17),73% (77/106),40% (52/129),55% (129/235),5,0,95% (18/19),22% (4/18),59% (22/37),[],"['5', '3']","['1', '0']","['1', '0', '4', '1']",[],1.03
13.01.,Basavareddy N.,1,,,,,,4,8,55%,72% (51/71),45% (26/58),64% (7/11),22% (16/72),38% (13/34),33% (1/3),32,42,47% (8/17),60% (77/129),27% (29/106),45% (106/235),5,3,78% (14/18),5% (1/19),41% (15/37),"['4', '3']",[],[],[],[],12.90
10.01.,Monfils G.,2,,,,,,7,2,55%,75% (36/48),55% (22/40),100% (5/5),29% (11/38),19% (4/21),50% (1/2),66% (58/88),25% (15/59),50% (73/147),8,0,100% (11/11),9% (1/11),55% (12/22),[],"['5', '4']",[],[],[],1.76
10.01.,Basavareddy N.,0,,,,,,3,0,64%,71% (27/38),81% (17/21),50% (1/2),25% (12/48),45% (18/40),0% (0/5),75% (44/59),34% (30/88),50% (74/147),2,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],2.09
08.01.,Basavareddy N.,2,,,,,,4,2,58%,80% (37/46),52% (17/33),71% (5/7),22% (10/46),67% (18/27),50% (3/6),68% (54/79),38% (28/73),54% (82/152),5,0,85% (11/13),23% (3/13),54% (14/26),[],"['1', '0', '4', '1']","['1', '0']",[],[],2.45
08.01.,Michelsen A.,1,,,,,,5,2,63%,78% (36/46),33% (9/27),50% (3/6),20% (9/46),48% (16/33),29% (2/7),62% (45/73),32% (25/79),46% (70/152),5,0,77% (10/13),15% (2/13),46% (12/26),"['3', '1', '6', '2']",[],[],[],[],1.56
07.01.,Basavareddy N.,2,,,,,,9,2,67%,73% (48/66),58% (19/33),86% (6/7),27% (20/73),49% (17/35),15% (2/13),68% (67/99),34% (37/108),50% (104/207),7,0,94% (15/16),13% (2/16),53% (17/32),"['4', '3']",[],"['5', '4']",[],[],1.82
07.01.,Tabilo A.,1,,,,,,12,2,68%,73% (53/73),51% (18/35),85% (11/13),27% (18/66),42% (14/33),14% (1/7),66% (71/108),32% (32/99),50% (103/207),3,1,88% (14/16),6% (1/16),47% (15/32),[],"['7', '5']",[],[],[],2.02
07.01.,Basavareddy N.,2,,,,,,6,0,71%,69% (25/36),73% (11/15),100% (2/2),44% (15/34),61% (11/18),44% (4/9),71% (36/51),50% (26/52),60% (62/103),6,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1']","['2', '1', '4', '1']",[],[],[],1.25
07.01.,Comesana F.,0,,,,,,6,2,65%,56% (19/34),39% (7/18),56% (5/9),31% (11/36),27% (4/15),0% (0/2),50% (26/52),29% (15/51),40% (41/103),4,2,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],4.01
04.01.,Basavareddy N.,2,,,,,,1,0,51%,95% (19/20),68% (13/19),0% (0/0),41% (13/32),69% (11/16),67% (4/6),82% (32/39),50% (24/48),64% (56/87),7,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '6', '2']","['2', '0', '5', '1']",[],[],[],1.31
04.01.,Altmaier D.,0,,,,,,6,0,67%,59% (19/32),31% (5/16),33% (2/6),5% (1/20),32% (6/19),0% (0/0),50% (24/48),18% (7/39),36% (31/87),3,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],3.44
03.01.,Basavareddy N.,2,,,,,,6,8,57%,76% (50/66),50% (25/50),71% (5/7),31% (21/67),49% (22/45),50% (4/8),65% (75/116),38% (43/112),52% (118/228),6,0,88% (15/17),25% (4/16),58% (19/33),"['2', '1']","['2', '0', '7', '5']","['3', '1']",[],[],1.69
03.01.,Van De Zandschulp B.,1,,,,,,13,8,60%,69% (46/67),51% (23/45),50% (4/8),24% (16/66),48% (24/50),29% (2/7),62% (69/112),35% (41/116),48% (110/228),4,4,75% (12/16),12% (2/17),42% (14/33),"['3', '3']","['1', '2']",[],[],[],2.09
31.12.2024,Monfils G.,2,,,,,,18,0,68%,77% (40/52),52% (13/25),57% (4/7),31% (15/49),64% (16/25),71% (5/7),69% (53/77),42% (31/74),56% (84/151),8,0,79% (11/14),38% (5/13),59% (16/27),"['2', '0', '6', '4']",[],"['2', '0', '3', '1', '5', '1']",[],[],1.74
31.12.2024,Basavareddy N.,1,,,,,,4,1,66%,69% (34/49),36% (9/25),29% (2/7),23% (12/52),48% (12/25),43% (3/7),58% (43/74),31% (24/77),44% (67/151),2,0,62% (8/13),21% (3/14),41% (11/27),"['2', '3']","['4', '3']","['1', '2']",[],[],2.09
29.12.2024,Basavareddy N.,2,,,,,,7,2,72%,78% (28/36),71% (10/14),50% (1/2),24% (9/37),65% (17/26),43% (3/7),76% (38/50),41% (26/63),57% (64/113),5,0,90% (9/10),30% (3/10),60% (12/20),"['1', '2', '5', '4']","['2', '1']",[],[],[],1.57
29.12.2024,Pouille L.,0,,,,,,10,6,59%,76% (28/37),35% (9/26),57% (4/7),22% (8/36),29% (4/14),50% (1/2),59% (37/63),24% (12/50),43% (49/113),5,2,70% (7/10),10% (1/10),40% (8/20),"['2', '0']",[],[],[],[],2.42
28.12.2024,Basavareddy N.,2,,,,,,10,4,61%,82% (45/55),57% (20/35),25% (1/4),28% (18/65),43% (17/40),44% (4/9),70% (58/83),41% (41/101),54% (99/184),7,0,81% (13/16),31% (5/16),56% (18/32),[],"['2', '1']","['6', '4']",[],[],1.52
28.12.2024,Gojo B.,1,,,,,,16,7,62%,72% (47/65),57% (23/40),56% (5/9),18% (10/55),43% (15/35),75% (3/4),59% (60/101),30% (25/83),46% (85/184),3,0,69% (11/16),19% (3/16),44% (14/32),[],"['3', '3']",[],[],[],2.54
20.12.2024,van Assche L.,3,,,,,,11,3,62%,87% (39/45),50% (14/28),67% (2/3),194 km/h,164 km/h,30% (15/50),61% (22/36),21% (3/14),31,22,67% (4/6),73% (53/73),43% (37/86),57% (90/159),5,0,92% (11/12),25% (3/12),58% (14/24),"['2', '3']",[],"['3', '2']","['2', '1']",[],1.82
20.12.2024,Basavareddy N.,1,,,,,,3,3,58%,70% (35/50),39% (14/36),79% (11/14),190 km/h,163 km/h,13% (6/45),50% (14/28),33% (1/3),15,37,68% (13/19),57% (49/86),27% (20/73),43% (69/159),5,2,75% (9/12),8% (1/12),42% (10/24),"['3', '1']",[],[],[],[],2.02
23.08.2024,Basavareddy N.,1,4,7^7,1,,,5,4,58%,64% (39/61),53% (24/45),55% (6/11),21% (16/75),65% (17/26),25% (2/8),23,24,66% (19/29),7,59% (63/106),33% (33/101),46% (96/207),3,64% (9/14),13% (2/15),38% (11/29),"['1', '1']","['2', '2']",[],[],[],2.42
23.08.2024,Medjedovic H.,2,6,6^5,6,,,22,5,74%,79% (59/75),35% (9/26),75% (6/8),36% (22/61),47% (21/45),45% (5/11),57,30,59% (17/29),6,67% (68/101),41% (43/106),54% (111/207),3,87% (13/15),36% (5/14),62% (18/29),"['1', '0', '4', '3']","['1', '0']","['2', '0', '5', '1']",[],[],1.57
22.08.2024,Basavareddy N.,2,7^7,7^7,,,,3,1,70%,69% (38/55),63% (15/24),40% (2/5),35% (17/49),49% (17/35),38% (3/8),18,17,50% (6/12),6,66% (53/80),40% (34/85),53% (87/165),3,75% (9/12),25% (3/12),50% (12/24),"['5', '4', '6', '5']","['5', '5']",[],[],[],1.41
