Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/39,38/38,-,2/1,-,-
2024,16/20,14/19,-,2/1,-,-
2023,19/11,19/11,-,-,-,-
2021,1/3,1/3,-,-,-,-
2019,1/3,1/3,-,-,-,-
2018,3/2,3/2,-,-,-,-
