Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,628/371,181/104,261/157,116/71,57/38,13/1
2024,37/14,8/4,19/6,6/2,4/2,-
2023,46/23,10/5,17/10,12/6,7/2,-
2022,27/22,10/5,10/11,6/4,1/2,-
2021,24/18,3/5,18/10,2/2,1/1,-
2020,21/17,7/5,10/8,4/4,-,-
2019,25/21,7/6,12/10,5/3,1/2,-
2018,27/19,7/5,11/9,6/3,3/2,-
2017,49/19,4/5,24/8,15/3,6/3,-
2016,40/26,4/5,30/15,3/3,3/3,-
2015,33/22,9/5,13/10,7/5,3/2,1/0
2014,50/20,12/4,21/11,7/4,9/1,1/0
2013,38/25,11/6,10/11,12/4,3/4,2/0
2012,36/25,13/7,9/9,8/6,6/3,-
2011,33/27,4/6,14/11,11/6,4/4,-
2010,60/19,30/4,18/6,9/6,1/2,2/1
2009,26/28,5/8,12/9,2/7,5/4,2/0
2008,46/21,30/15,10/2,1/3,0/1,5/0
2007,10/5,7/4,3/1,-,-,-
