https://www.tennisexplorer.com/res/img/player/trlVXdZb-WQ0f4DVa.jpeg
Dimitrov Grigor
Country: Bulgaria
Height / Weight: 191 cm / 81 kg
Age: 33 (16. 5. 1991)
Current/Highest rank - singles: 9. / 3.
Current/Highest rank - doubles: 1252. / 17.
Sex: man
Plays: right
