https://www.tennisexplorer.com/res/img/player/0p3lWkYs-WAY1fN1J.jpeg
Ingarao Alessandro
Country: Italy
Age: 25 (2. 8. 1999)
Current/Highest rank - singles: 1362. / 799.
Current/Highest rank - doubles: 2389. / 842.
Sex: man
Plays: right
