Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/82,70/57,9/14,8/6,-,4/5
2024,8/3,8/3,-,-,-,-
2023,12/8,10/5,-,-,-,2/3
2022,4/6,-,2/4,-,-,2/2
2021,15/18,10/13,5/5,-,-,-
2020,4/4,3/3,1/1,-,-,-
2019,29/24,24/20,1/2,4/2,-,-
2018,13/9,13/9,-,-,-,-
2017,5/6,1/2,-,4/4,-,-
2016,1/4,1/2,0/2,-,-,-
