Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.08.,Jubb P.,2,,,,,,"['3', '1', '6', '2']",[],"['2', '0', '4', '0']",[],[],1.51
08.08.,Jones B.,1,,,,,,[],"['2', '1']","['1', '4']",[],[],18.5
07.08.,Jones B.,2,,,,,,"['3', '2']","['3', '1']","['4', '3']",[],[],1.18
07.08.,Volpi G.,1,,,,,,"['3', '3']","['2', '3']",[],[],[],4.47
05.08.,Jones B.,1,,,,,,"['2', '3', '6', '5']",[],[],[],[],1.91
05.08.,Lumsden E.,0,,,,,,"['3', '1']",[],[],[],[],1.79
08.07.,Peniston R.,2,,,,,,5,1,82%,78% (35/45),60% (6/10),100% (4/4),26% (9/35),69% (11/16),100% (3/3),75% (41/55),39% (20/51),58% (61/106),7,0,100% (9/9),30% (3/10),63% (12/19),"['4', '3']","['1', '0', '6', '3']",[],[],[],1.17
08.07.,Jones B.,0,,,,,,6,1,69%,74% (26/35),31% (5/16),0% (0/3),22% (10/45),40% (4/10),0% (0/4),61% (31/51),25% (14/55),42% (45/106),3,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],4.70
03.07.,Boulais J.,2,,,,,,"['3', '1']","['1', '2']","['3', '1', '4', '2']",[],[],1.36
03.07.,Jones B.,1,,,,,,[],"['2', '0']","['2', '3']",[],[],2.94
08.06.,Crawford O.,2,,,,,,5,1,69%,80% (28/35),75% (12/16),0% (0/0),29% (11/38),57% (13/23),29% (2/7),79% (34/43),39% (24/61),56% (58/104),5,0,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['2', '1']",[],[],[],-
08.06.,Jones B.,0,,,,,,14,4,62%,71% (27/38),43% (10/23),71% (5/7),20% (7/35),25% (4/16),0% (0/0),61% (37/61),21% (9/43),44% (46/104),5,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],-
26.05.,Hussey G.,2,,,,,,3,3,64%,74% (34/46),69% (18/26),100% (1/1),32% (17/53),52% (13/25),25% (1/4),72% (52/72),38% (30/78),55% (82/150),8,0,100% (11/11),9% (1/11),55% (12/22),"['6', '4']",[],[],[],[],1.31
26.05.,Jones B.,0,,,,,,6,1,68%,68% (36/53),48% (12/25),75% (3/4),26% (12/46),31% (8/26),0% (0/1),62% (48/78),28% (20/72),45% (68/150),2,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],3.27
