Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,157/150,0/4,78/73,77/65,2/8,-
2024,30/22,0/2,19/11,10/8,1/1,-
2023,26/34,0/2,5/9,21/21,0/2,-
2022,27/29,-,5/12,21/15,1/2,-
2021,31/15,-,19/10,12/5,-,-
2020,1/2,-,-,1/2,-,-
2019,10/11,-,8/9,2/2,-,-
2018,16/11,-,12/8,4/2,0/1,-
2017,11/17,-,10/13,1/4,-,-
2016,4/5,-,-,4/5,-,-
2015,1/1,-,-,1/1,-,-
2014,0/3,-,0/1,-,0/2,-
