Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.08.,Rapagnetta D.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],[],-
05.08.,Di Nicola G.,0,,,,,,[],[],[],[],[],-
05.09.2024,Piraino G.,2,,,,,,"['1', '0', '4', '3']","['1', '0', '2', '1', '4', '3', '6', '3']",[],[],[],1.11
05.09.2024,Di Nicola G.,0,,,,,,"['3', '3']","['1', '1', '3', '3']",[],[],[],6.15
03.09.2024,Di Nicola G.,2,,,,,,"['3', '1']","['4', '5', '6', '5']",[],[],[],3.86
03.09.2024,Sciahbasi L.,0,,,,,,[],"['3', '1', '6', '6']",[],[],[],1.23
14.09.2023,Oradini G.,2,,,,,,"['3', '1', '5', '3']","['2', '1', '6', '3']",[],[],[],1.10
14.09.2023,Di Nicola G.,0,,,,,,"['2', '3']",[],[],[],[],6.66
13.09.2023,Di Nicola G.,2,,,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['3', '3', '6', '6']",[],[],[],-
13.09.2023,Carraro L.,0,,,,,,"['1', '5']","['2', '1', '6', '5']",[],[],[],-
08.08.2023,Juarez F.,2,,,,,,"['1', '0', '6', '3']","['2', '0']",[],[],[],1.10
08.08.2023,Di Nicola G.,0,,,,,,[],[],[],[],[],6.00
16.06.2023,Guerrieri A.,2,,,,,,"['2', '0', '5', '1']","['1', '2', '4', '5']","['4', '4', '6', '4']",[],[],1.33
16.06.2023,Di Nicola G.,1,,,,,,[],"['2', '0', '5', '3']","['1', '0']",[],[],3.10
13.06.2023,Di Nicola G.,2,,,,,,"['1', '0', '2', '1', '6', '5']","['2', '0', '3', '1', '6', '2']",[],[],[],1.37
13.06.2023,Tresca G.,0,,,,,,"['1', '1', '2', '2', '6', '6']","['1', '2']",[],[],[],2.91
08.06.2023,Napolitano S.,2,,,,,,"['1', '0', '2', '3', '3', '4', '6', '5']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.02
08.06.2023,Di Nicola G.,0,,,,,,"['1', '1', '3', '1', '4', '2']","['1', '1']",[],[],[],11.00
07.06.2023,Di Nicola G.,2,,,,,,"['3', '1', '5', '3']","['3', '2', '5', '2', '6', '3']",[],[],[],1.29
07.06.2023,Cortegiani A.,0,,,,,,"['2', '3']","['3', '5']",[],[],[],3.34
17.05.2023,Oradini G.,2,,,,,,"['1', '0', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],1.09
17.05.2023,Di Nicola G.,0,,,,,,"['3', '3']",[],[],[],[],6.20
16.04.2023,Piraino G.,2,,,,,,7,2,55%,70% (19/27),41% (9/22),50% (2/4),55% (28/51),55% (11/20),55% (6/11),57% (28/49),55% (39/71),56% (67/120),75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '6', '1']","['3', '3', '5', '3', '6', '4']",[],[],[],1.16
