Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,26/25,-,22/20,2/4,2/1,-
2024,5/3,-,5/3,-,-,-
2023,15/16,-,12/12,1/3,2/1,-
2022,6/6,-,5/5,1/1,-,-
