Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,425/289,103/71,280/181,9/22,8/6,25/9
2024,51/25,29/11,18/10,0/2,-,4/2
2023,43/33,25/11,13/16,0/3,1/2,4/1
2022,45/32,21/10,17/16,2/5,-,5/1
2021,36/34,1/5,28/21,3/6,4/1,0/1
2020,22/24,13/15,6/7,1/2,-,2/0
2019,50/28,5/4,44/24,-,-,1/0
2018,46/32,-,43/30,1/1,-,2/1
2017,51/32,4/6,44/25,-,-,3/1
2016,35/20,3/3,31/15,0/1,-,1/1
2015,20/10,0/2,16/6,1/1,-,3/1
2014,17/10,1/2,15/7,1/1,-,-
2013,6/4,-,3/1,-,3/3,-
2012,1/2,1/2,-,-,-,-
2011,0/1,-,0/1,-,-,-
2009,2/1,-,2/1,-,-,-
2008,0/1,-,0/1,-,-,-
