Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,144/109,117/92,11/7,-,-,16/10
2024,25/22,25/22,-,-,-,-
2023,41/25,29/21,7/3,-,-,5/1
2022,48/29,33/16,4/4,-,-,11/9
2021,12/12,12/12,-,-,-,-
2020,1/2,1/2,-,-,-,-
2019,5/8,5/8,-,-,-,-
2018,7/8,7/8,-,-,-,-
2017,5/3,5/3,-,-,-,-
