Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/105,121/92,3/4,-,-,11/9
2024,19/18,19/18,-,-,-,-
2023,59/37,52/30,0/1,-,-,7/6
2022,32/29,25/23,3/3,-,-,4/3
2021,21/18,21/18,-,-,-,-
2018,4/3,4/3,-,-,-,-
