Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,160/149,17/15,135/131,8/3,-,-
2024,31/20,1/0,30/20,-,-,-
2023,25/30,1/2,24/28,-,-,-
2022,21/15,-,21/15,-,-,-
2020,2/2,-,2/2,-,-,-
2019,27/27,7/6,15/20,5/1,-,-
2018,23/20,0/1,23/19,-,-,-
2017,11/15,0/1,11/14,-,-,-
2016,17/15,6/3,8/10,3/2,-,-
2015,3/5,2/2,1/3,-,-,-
