Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,400/353,26/39,318/271,44/28,12/15,-
2024,36/26,8/5,26/20,2/1,-,-
2023,31/28,1/5,22/20,8/3,-,-
2022,30/30,5/2,25/26,0/2,-,-
2021,19/26,8/12,11/14,-,-,-
2020,0/5,-,0/4,0/1,-,-
2019,24/34,1/4,23/28,0/1,0/1,-
2018,36/32,0/1,32/28,1/1,3/2,-
2017,30/37,1/4,29/32,0/1,-,-
2016,20/35,0/1,20/29,0/1,0/4,-
2015,43/34,1/4,39/23,3/5,0/2,-
2014,44/28,-,40/22,3/4,1/2,-
2013,48/18,1/1,32/15,11/1,4/1,-
2012,21/9,-,16/6,2/2,3/1,-
2011,5/5,-,3/2,1/1,1/2,-
2010,9/5,-,0/2,9/3,-,-
2009,4/1,-,-,4/1,-,-
