Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,92/67,28/31,44/27,12/8,-,8/1
2023,51/31,19/12,19/11,12/7,-,1/1
2022,32/21,6/8,23/12,0/1,-,3/0
2021,5/9,1/8,0/1,-,-,4/0
2020,3/4,1/1,2/3,-,-,-
2019,1/2,1/2,-,-,-,-
