Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,672/500,253/207,276/170,93/87,30/28,20/8
2024,37/25,17/12,10/7,4/3,4/3,2/0
2023,41/36,13/10,10/13,14/10,4/3,-
2022,40/30,4/6,25/14,3/5,8/5,-
2021,23/29,3/10,4/9,13/6,3/4,-
2020,9/18,2/4,0/8,7/6,-,-
2019,35/26,7/6,20/12,7/5,1/3,-
2018,36/34,10/12,18/17,5/3,3/2,-
2017,39/36,11/14,22/15,3/5,3/2,-
2016,56/36,25/12,15/10,10/12,4/1,2/1
2015,47/33,21/12,20/13,5/6,0/1,1/1
2014,50/33,25/17,12/10,7/5,0/1,6/0
2013,49/27,10/11,29/8,5/6,0/1,5/1
2012,54/28,14/10,33/6,5/8,0/2,2/2
2011,44/22,25/14,17/5,2/3,-,-
2010,33/24,22/18,8/2,3/4,-,-
2009,30/27,16/17,13/8,-,-,1/2
2008,23/22,13/16,10/6,-,-,-
2007,20/11,9/3,10/7,-,-,1/1
2006,6/3,6/3,-,-,-,-
