Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/33,4/6,26/24,-,2/3,-
2024,10/13,1/3,7/8,-,2/2,-
2023,14/11,3/3,11/7,-,0/1,-
2022,7/2,-,7/2,-,-,-
2021,1/7,-,1/7,-,-,-
