Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,28/39,25/33,-,-,-,3/6
2024,8/17,8/14,-,-,-,0/3
2023,17/16,15/14,-,-,-,2/2
2022,3/4,2/4,-,-,-,1/0
2021,0/1,0/1,-,-,-,-
2020,0/1,-,-,-,-,0/1
