Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,462/340,78/78,193/135,170/109,3/11,18/7
2024,25/24,0/3,14/13,11/8,-,-
2023,26/25,1/3,18/15,7/6,0/1,-
2022,17/16,7/5,8/10,2/1,-,-
2021,23/32,2/8,5/10,14/11,2/3,-
2020,25/19,8/7,6/6,10/5,-,1/1
2019,44/30,4/6,23/12,15/9,0/3,2/0
2018,28/23,1/5,17/8,8/5,1/2,1/3
2017,42/14,2/1,23/7,14/4,0/2,3/0
2016,22/20,0/1,3/5,16/14,-,3/0
2015,43/20,4/1,20/12,14/6,-,5/1
2014,34/30,6/8,15/12,11/9,-,2/1
2013,58/24,14/4,25/10,18/9,-,1/1
2012,37/27,5/7,10/7,22/13,-,-
2011,27/20,17/12,5/5,5/3,-,-
2010,9/11,6/5,1/2,2/4,-,-
2009,2/3,1/1,-,1/2,-,-
2008,0/2,0/1,0/1,-,-,-
