Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,450/340,297/201,94/79,41/47,18/11,0/2
2024,13/18,12/9,1/6,-,0/3,-
2023,41/29,32/17,5/6,4/5,-,0/1
2022,29/23,4/6,7/9,12/5,6/3,-
2021,16/25,5/9,7/11,2/3,2/2,-
2020,21/15,11/4,10/9,0/1,-,0/1
2019,34/21,26/11,4/6,2/2,2/2,-
2018,47/22,17/9,28/12,2/1,-,-
2017,19/12,10/7,3/2,6/3,-,-
2016,18/23,5/10,12/10,1/3,-,-
2015,46/20,36/15,-,2/4,8/1,-
2014,26/20,10/12,16/6,0/2,-,-
2013,25/21,23/14,0/1,2/6,-,-
2012,31/28,30/23,1/1,0/4,-,-
2011,34/20,29/17,-,5/3,-,-
2010,33/23,32/22,-,1/1,-,-
2009,14/11,13/10,-,1/1,-,-
2008,2/5,2/3,-,0/2,-,-
2007,1/4,0/3,-,1/1,-,-
