Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Antofagasta (Chile),clay,header
24.09. 18:40,Dellien Velasco M. A.,1,5,6,2,,,2,2,70%,69% (37/54),35% (8/23),50% (4/8),47% (22/47),55% (17/31),38% (5/13),7,58% (45/77),50% (39/78),54% (84/155),5,67% (8/12),45% (5/11),57% (13/23),"['2', '0', '3', '1']","['2', '0', '5', '3']","['1', '0']",[],[],0
24.09. 18:40,Lavagno E.,1,7,3,0,,,0,4,60%,53% (25/47),45% (14/31),62% (8/13),31% (17/54),65% (15/23),50% (4/8),8,50% (39/78),42% (32/77),46% (71/155),3,55% (6/11),33% (4/12),43% (10/23),"['1', '2', '2', '3', '6', '5']","['2', '3']",[],[],[],0
CHALLENGER MEN - SINGLES :  Antofagasta (Chile) - Qualification,clay,header
23.09. 18:40,Lavagno E.,1,1,6,4,,,2,3,64%,66% (35/53),37% (11/30),50% (5/10),33% (15/45),51% (26/51),43% (3/7),8,56% (45/81),42% (40/95),48% (85/176),4,62% (8/13),23% (3/13),42% (11/26),[],"['4', '3', '6', '3']","['3', '3']",[],[],1.36
23.09. 18:40,Aboian L.,2,6,3,6,,,1,0,47%,67% (30/45),49% (25/51),57% (4/7),34% (18/53),63% (19/30),50% (5/10),7,58% (55/95),44% (36/81),52% (91/176),5,77% (10/13),38% (5/13),58% (15/26),"['1', '0', '4', '1', '6', '1']",[],"['1', '0', '5', '4']",[],[],2.99
22.09. 21:40,Lavagno E.,2,6,6,,,,1,2,70%,85% (22/26),64% (7/11),100% (1/1),50% (12/24),81% (13/16),83% (5/6),10,78% (29/37),63% (25/40),70% (54/77),7,100% (7/7),71% (5/7),86% (12/14),"['2', '0', '4', '0', '6', '0']","['3', '1', '6', '2']",[],[],[],1.02
22.09. 21:40,Iniguez S.,0,0,2,,,,0,2,60%,50% (12/24),19% (3/16),17% (1/6),15% (4/26),36% (4/11),0% (0/1),3,38% (15/40),22% (8/37),30% (23/77),1,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],11.10
ITF MEN - SINGLES :  M25 Varnamo (Sweden),clay,header
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 6 (Italy),clay,header
ITF MEN - SINGLES :  M25 Varnamo (Sweden),clay,header
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 6 (Italy),clay,header
03.05. 15:50,Lavagno E.,1,6,5,2,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '3', '5', '4']","['1', '0', '3', '2']","['2', '3']",[],[],1.51
03.05. 15:50,Ferrari G.,2,4,7,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1']","['2', '2', '4', '4', '7', '5']","['2', '0', '4', '2', '6', '2']",[],[],2.50
30.04. 15:35,Lavagno E.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '4']","['2', '2', '3', '3', '6', '4']",[],[],[],1.72
30.04. 15:35,Kestelboim M.,0,4,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '5', '4', '5']","['1', '0', '3', '2']",[],[],[],2.02
CHALLENGER MEN - SINGLES :  Rome (Italy),clay,header
23.04. 20:05,Lavagno E.,0,6^1,3,,,,2,1,67%,65% (31/48),50% (12/24),67% (4/6),24% (11/46),39% (9/23),33% (1/3),5,60% (43/72),29% (20/69),45% (63/141),2,80% (8/10),9% (1/11),43% (9/21),[],"['2', '5']",[],[],[],4.45
23.04. 20:05,Moreno De Alboran N.,2,7^7,6,,,,7,2,67%,76% (35/46),61% (14/23),67% (2/3),35% (17/48),50% (12/24),33% (2/6),9,71% (49/69),40% (29/72),55% (78/141),5,91% (10/11),20% (2/10),57% (12/21),[],"['2', '0', '5', '1']",[],[],[],1.19
ATP - SINGLES :  Munich (Germany) - Qualification,clay,header
