Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/53,42/25,-,-,-,28/28
2024,21/20,14/13,-,-,-,7/7
2023,36/15,22/8,-,-,-,14/7
2022,9/10,6/4,-,-,-,3/6
2021,4/8,-,-,-,-,4/8
