Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,470/300,195/137,142/81,133/80,0/2,-
2024,13/6,3/2,5/3,5/1,-,-
2023,3/3,-,-,3/3,-,-
2022,9/9,3/5,6/4,-,-,-
2021,1/2,-,1/2,-,-,-
2020,9/6,2/1,1/3,6/2,-,-
2019,12/15,1/5,11/10,-,-,-
2018,32/30,3/13,11/4,18/12,0/1,-
2017,65/30,22/11,14/8,29/10,0/1,-
2016,37/25,12/17,21/5,4/3,-,-
2015,47/16,20/9,24/6,3/1,-,-
2014,51/24,35/14,0/1,16/9,-,-
2013,21/18,18/12,0/2,3/4,-,-
2012,38/24,8/5,21/12,9/7,-,-
2011,56/37,32/18,13/10,11/9,-,-
2010,35/22,21/13,6/2,8/7,-,-
2009,32/21,12/9,4/5,16/7,-,-
2008,5/3,2/1,2/1,1/1,-,-
2007,1/3,0/1,1/1,0/1,-,-
2006,2/4,1/1,0/1,1/2,-,-
2005,1/2,-,1/1,0/1,-,-
