Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,788/507,395/251,289/141,95/102,1/9,8/4
2024,11/14,3/7,7/6,1/1,-,-
2023,21/25,16/18,4/3,1/4,-,-
2022,27/31,14/16,1/2,12/13,-,-
2021,40/27,24/14,11/8,5/5,-,-
2020,49/23,37/14,9/5,3/4,-,-
2019,19/24,2/7,13/11,4/5,0/1,-
2018,36/34,4/8,22/14,10/12,-,-
2017,51/31,5/6,41/14,5/8,0/3,-
2016,35/29,5/3,20/11,9/12,1/3,-
2015,51/34,8/11,30/16,13/6,0/1,-
2014,72/31,7/13,59/15,6/3,-,-
2013,38/31,10/12,16/10,10/8,0/1,2/0
2012,80/27,57/18,20/5,3/4,-,-
2011,38/29,25/19,10/5,2/2,-,1/3
2010,54/26,43/18,-,6/7,-,5/1
2009,52/26,39/16,10/7,3/3,-,-
2008,43/23,39/20,2/1,2/2,-,-
2007,29/15,22/12,7/3,-,-,-
2006,22/11,15/5,7/4,0/2,-,-
2005,13/9,13/8,-,0/1,-,-
2004,7/7,7/6,0/1,-,-,-
