Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/41,24/19,12/11,7/11,-,-
2024,22/23,17/16,-,5/7,-,-
2023,17/12,7/3,8/5,2/4,-,-
2022,4/6,-,4/6,-,-,-
