Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.02.,Petrov A.,2,,,,,,"['3', '3', '7', '5']","['1', '1', '5', '3']",[],[],[],1.44
04.02.,Moret J.,0,,,,,,"['3', '2']","['1', '0']",[],[],[],2.62
29.01.,Horoz A.,2,,,,,,"['3', '2', '6', '3']","['2', '2', '5', '3']",[],[],[],2.62
29.01.,Moret J.,0,,,,,,[],"['1', '0']",[],[],[],1.44
30.08.2024,Bouquet L.,2,,,,,,[],"['1', '0', '4', '1']","['3', '2', '5', '4']",[],[],1.19
30.08.2024,Moret J.,1,,,,,,"['3', '1', '6', '2']","['2', '4']","['4', '4']",[],[],4.30
29.08.2024,Moret J.,2,,,,,,[],"['4', '4', '6', '4']","['3', '1', '5', '1']",[],[],4.22
29.08.2024,Tessa L.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],[],1.20
28.08.2024,Moret J.,2,,,,,,"['3', '3', '6', '4']","['1', '1', '3', '5', '5', '5', '6', '6']",[],[],[],-
28.08.2024,Oumaouche R.,0,,,,,,"['1', '0']","['1', '0', '2', '1', '4', '1', '6', '5']",[],[],[],-
27.08.2024,Moret J.,2,,,,,,"['2', '0', '6', '2']",[],[],[],[],2.59
27.08.2024,Tailleu P. A.,0,,,,,,[],[],[],[],[],1.46
06.12.2023,Chepelev A.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['1', '1', '5', '3']",[],[],[],1.29
06.12.2023,Moret J.,0,,,,,,[],"['1', '0']",[],[],[],3.34
16.11.2023,Kravchenko G.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.09
16.11.2023,Moret J.,0,,,,,,[],[],[],[],[],6.49
15.11.2023,Moret J.,2,,,,,,"['3', '1']","['3', '2']","['1', '1', '4', '2', '6', '2']",[],[],1.28
15.11.2023,Markovits M.,1,,,,,,[],"['3', '3', '5', '3']","['1', '0']",[],[],3.42
19.10.2023,Kravchenko G.,2,,,,,,[],"['2', '0', '4', '4']","['3', '1', '5', '3']",[],[],1.08
19.10.2023,Moret J.,1,,,,,,[],"['2', '3', '4', '3', '5', '4']","['2', '3']",[],[],6.59
18.10.2023,Moret J.,2,,,,,,"['2', '2', '4', '4', '6', '4']","['4', '2', '5', '5']","['1', '0', '3', '0']",[],[],2.29
18.10.2023,Bennani R.,1,,,,,,"['2', '1', '4', '3']","['3', '4', '5', '4']",[],[],[],1.57
11.10.2023,Melero K. A.,2,,,,,,"['2', '1', '5', '2']","['2', '1']","['2', '0', '4', '2']",[],[],1.24
11.10.2023,Moret J.,1,,,,,,[],"['3', '3', '5', '3']","['1', '2']",[],[],3.73
03.11.2021,Lock B.,2,,,,,,"['4', '3', '6', '3']","['3', '3', '5', '3']",[],[],[],1.12
03.11.2021,Moret J.,0,,,,,,[],"['1', '0']",[],[],[],5.95
