Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,105/112,15/18,78/80,-,-,12/14
2024,24/20,-,22/17,-,-,2/3
2023,22/18,2/2,19/15,-,-,1/1
2022,13/15,-,12/12,-,-,1/3
2021,9/15,-,8/13,-,-,1/2
2020,2/8,-,2/8,-,-,-
2019,10/14,5/8,3/5,-,-,2/1
2018,22/17,7/6,12/9,-,-,3/2
2017,3/5,1/2,0/1,-,-,2/2
