Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,252/193,174/143,45/32,-,-,33/18
2024,7/5,4/3,3/2,-,-,-
2023,22/16,2/3,0/2,-,-,20/11
2022,35/22,7/9,15/6,-,-,13/7
2021,24/17,-,24/17,-,-,-
2020,3/3,3/3,-,-,-,-
2019,8/12,7/9,1/3,-,-,-
2018,9/9,9/9,-,-,-,-
2017,19/10,17/9,2/1,-,-,-
2016,12/9,12/8,0/1,-,-,-
2015,22/18,22/18,-,-,-,-
2014,31/23,31/23,-,-,-,-
2013,22/10,22/10,-,-,-,-
2012,22/15,22/15,-,-,-,-
2011,10/11,10/11,-,-,-,-
2010,2/9,2/9,-,-,-,-
2009,4/4,4/4,-,-,-,-
