Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
10.04.,Sanchez Jover C.,2,,,,,,"['1', '0', '3', '0', '4', '1', '6', '1']","['1', '1']",[],[],[],1.10
10.04.,Carraro L.,0,,,,,,"['1', '3']","['1', '0']",[],[],[],5.80
09.04.,Carraro L.,2,,,,,,"['2', '0']","['2', '1', '4', '1']",[],[],[],4.62
09.04.,Pecci A.,0,,,,,,[],[],[],[],[],1.17
08.04.,Carraro L.,2,,,,,,"['1', '0', '5', '2']","['4', '3', '6', '3']",[],[],[],3.40
08.04.,Bondioli F.,0,,,,,,[],[],[],[],[],1.28
26.11.2024,Aguilar Cardozo J.,2,,,,,,"['2', '0', '6', '2']","['1', '3', '4', '4', '6', '4']",[],[],[],1.27
26.11.2024,Carraro L.,0,,,,,,[],"['1', '0', '3', '0']",[],[],[],3.46
15.10.2024,Tammaro M.,2,,,,,,"['2', '4']","['2', '0', '4', '0', '6', '0']","['3', '1', '4', '2', '6', '2']",[],[],1.72
15.10.2024,Carraro L.,1,,,,,,"['1', '0', '3', '0', '5', '2']",[],"['2', '3']",[],[],2.00
10.10.2024,Kuzmanov D.,2,,,,,,"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],-
10.10.2024,Carraro L.,0,,,,,,[],[],[],[],[],-
09.10.2024,Carraro L.,2,,,,,,"['6', '4']","['4', '2']",[],[],[],-
09.10.2024,Catini N.,0,,,,,,[],[],[],[],[],-
27.08.2024,Sciahbasi L.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['4', '2', '6', '2']",[],[],[],2.19
27.08.2024,Carraro L.,0,,,,,,[],[],[],[],[],1.64
06.08.2024,Vatutin A.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['1', '3']","['2', '0', '5', '1']",[],[],-
06.08.2024,Carraro L.,1,,,,,,"['1', '1']","['1', '0', '3', '0', '4', '1']",[],[],[],-
24.07.2024,Spadola A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '5', '4']",[],[],[],3.23
24.07.2024,Carraro L.,0,,,,,,[],"['2', '2']",[],[],[],1.34
18.07.2024,Simundza J.,2,,,,,,"['3', '1', '5', '1']",[],"['4', '2']",[],[],-
18.07.2024,Carraro L.,1,,,,,,[],"['2', '0', '5', '1']",[],[],[],-
16.07.2024,Carraro L.,2,,,,,,"['1', '1', '2', '2', '4', '2']","['1', '0', '3', '0', '5', '2']",[],[],[],-
16.07.2024,Martin Manzano J. C.,0,,,,,,"['1', '0', '2', '1']","['1', '3']",[],[],[],-
27.06.2024,Cadenasso G.,2,,,,,,"['5', '3']","['2', '3', '5', '4']",[],[],[],1.59
27.06.2024,Carraro L.,0,,,,,,[],"['2', '0']",[],[],[],2.24
25.06.2024,Carraro L.,2,,,,,,"['1', '0', '3', '0', '5', '4']","['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],-
25.06.2024,Borrelli L.,1,,,,,,"['1', '3', '4', '4', '5', '5']",[],[],[],[],-
11.06.2024,Ovcharenko O.,2,,,,,,"['1', '2', '4', '5', '6', '5']","['3', '4', '5', '4', '6', '5']",[],[],[],-
11.06.2024,Carraro L.,0,,,,,,"['2', '0', '5', '3']","['3', '1', '5', '5']",[],[],[],-
24.05.2024,Buldorini P.,2,,,,,,"['2', '1', '3', '2', '4', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],2.00
24.05.2024,Carraro L.,0,,,,,,"['2', '2', '3', '3']",[],[],[],[],1.73
23.05.2024,Carraro L.,2,,,,,,"['2', '0', '5', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],2.50
23.05.2024,Compagnucci T.,0,,,,,,"['3', '4']",[],[],[],[],1.51
22.05.2024,Carraro L.,2,,,,,,"['2', '0', '6', '4']","['2', '0', '6', '4']",[],[],[],-
22.05.2024,De Giorgio P.,0,,,,,,"['1', '2']","['3', '4']",[],[],[],-
17.05.2024,Picchione A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.21
17.05.2024,Carraro L.,0,,,,,,[],[],[],[],[],4.28
14.05.2024,Carraro L.,2,,,,,,"['3', '5']","['2', '0', '6', '2']","['4', '4']",[],[],-
14.05.2024,Pieri S.,1,,,,,,"['3', '2', '5', '2']",[],"['1', '0']",[],[],-
14.12.2023,Becerra Otarola I. A.,2,,,,,,[],[],[],[],[],3.55
14.12.2023,Carraro L.,0,,,,,,[],[],[],[],[],1.23
13.12.2023,Carraro L.,2,,,,,,[],[],[],[],[],1.25
13.12.2023,Bruna N.,0,,,,,,[],[],[],[],[],3.43
