Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/12,-,12/12,-,-,-
2024,7/5,-,7/5,-,-,-
2022,3/2,-,3/2,-,-,-
2021,2/5,-,2/5,-,-,-
