Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,210/178,105/85,101/88,4/5,-,-
2024,26/18,17/9,9/9,-,-,-
2023,43/20,15/5,28/15,-,-,-
2022,5/5,1/2,4/3,-,-,-
2021,22/18,5/6,16/11,1/1,-,-
2020,14/20,-,12/20,2/0,-,-
2019,16/19,9/12,7/7,-,-,-
2018,32/25,16/13,16/11,0/1,-,-
2017,21/21,20/19,0/1,1/1,-,-
2016,21/17,19/14,2/3,-,-,-
2015,9/11,3/4,6/6,0/1,-,-
2014,1/4,0/1,1/2,0/1,-,-
