Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
21.11.2024,Milavsky D.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '5', '2']",[],[],[],1.44
21.11.2024,Gregg P.,0,,,,,,[],[],[],[],[],2.62
20.11.2024,Gregg P.,2,,,,,,"['1', '1', '4', '4']","['6', '5']","['3', '1', '7', '5']",[],[],2.13
20.11.2024,Schiessl E.,1,,,,,,"['1', '0', '2', '1']","['6', '6']","['3', '4']",[],[],1.65
17.11.2023,Baris O.,2,,,,,,"['1', '0', '5', '2']","['3', '4', '5', '4']",[],[],[],1.75
17.11.2023,Gregg P.,0,,,,,,[],"['3', '1']",[],[],[],1.97
16.11.2023,Gregg P.,2,,,,,,"['4', '3', '5', '4']","['4', '3', '6', '3']",[],[],[],1.53
16.11.2023,Van Sambeek F.,0,,,,,,"['4', '4']",[],[],[],[],2.38
14.11.2023,Gregg P.,2,,,,,,"['1', '2', '6', '5']","['3', '2']",[],[],[],1.25
14.11.2023,Collard S.,0,,,,,,"['2', '0']",[],[],[],[],3.64
07.10.2023,Papoe R. M.,2,,,,,,"['1', '0', '4', '1', '6', '1']",[],[],[],[],1.27
07.10.2023,Gregg P.,0,,,,,,[],[],[],[],[],3.48
06.10.2023,Gregg P.,2,,,,,,"['3', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],2.54
06.10.2023,Clark E.,0,,,,,,[],[],[],[],[],1.47
05.10.2023,Gregg P.,2,,,,,,"['3', '1', '6', '2']",[],[],[],[],1.45
05.10.2023,Evans G.,0,,,,,,[],[],[],[],[],2.60
04.10.2023,Gregg P.,2,,,,,,"['5', '3']","['3', '4']",[],[],[],2.63
04.10.2023,Mitsui S.,0,,,,,,[],"['2', '0']",[],[],[],1.44
14.09.2023,Draxl L.,2,,,,,,"['2', '1', '5', '2']","['1', '0']","['4', '2', '7', '5']",[],[],1.10
14.09.2023,Gregg P.,1,,,,,,[],"['2', '2']","['4', '5']",[],[],6.17
13.09.2023,Gregg P.,2,,,,,,"['3', '1', '5', '1', '6', '4']",[],"['2', '0', '4', '2']",[],[],2.51
13.09.2023,Lapadat J.,1,,,,,,"['2', '5', '4', '5']","['5', '4']","['1', '2', '3', '4']",[],[],1.48
19.07.2023,Baris O.,2,,,,,,"['6', '5']","['4', '3']",[],[],[],1.34
19.07.2023,Gregg P.,0,,,,,,[],[],[],[],[],3.04
22.06.2023,Tracy J.,2,,,,,,"['1', '0', '4', '3', '6', '3']",[],"['7', '5']",[],[],1.30
22.06.2023,Gregg P.,1,,,,,,"['2', '2']","['3', '2']",[],[],[],3.28
21.06.2023,Gregg P.,2,,,,,,"['1', '0']","['3', '2']",[],[],[],1.83
21.06.2023,Salle F.,0,,,,,,[],[],[],[],[],1.88
17.11.2022,Harper M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.46
17.11.2022,Gregg P.,0,,,,,,[],[],[],[],[],2.60
16.11.2022,Popovic M.,1,,,,,,[],"['2', '2']",[],[],[],3.60
16.11.2022,Gregg P.,0,,,,,,[],"['2', '1', '3', '2']",[],[],[],1.26
07.07.2022,Farren C.,2,,,,,,"['3', '2', '6', '3']","['2', '0']",[],[],[],1.92
07.07.2022,Gregg P.,0,,,,,,[],"['1', '2']",[],[],[],1.84
06.07.2022,Gregg P.,2,,,,,,"['2', '2', '4', '2']","['3', '4', '5', '4']",[],[],[],-
06.07.2022,Joncour R.,0,,,,,,"['1', '0', '4', '5']","['3', '1']",[],[],[],-
29.06.2022,Vallejo D.,2,,,,,,"['1', '0', '2', '1', '3', '2', '5', '2', '6', '5']","['2', '1', '5', '4']",[],[],[],1.67
29.06.2022,Gregg P.,0,,,,,,"['1', '1', '2', '2', '3', '5', '5', '5']","['2', '2']",[],[],[],2.17
24.06.2022,Monday J.,2,,,,,,"['6', '5']","['2', '1', '4', '1']",[],[],[],1.67
24.06.2022,Gregg P.,0,,,,,,[],[],[],[],[],2.21
23.06.2022,Gregg P.,2,,,,,,"['3', '1', '5', '1']",[],[],[],[],2.14
23.06.2022,Trotter J. K.,0,,,,,,[],[],[],[],[],1.69
22.06.2022,Gregg P.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '4', '7', '5']",[],[],[],1.45
22.06.2022,Thieneman P.,0,,,,,,[],"['2', '1']",[],[],[],2.69
08.06.2022,Mitsui S.,2,,,,,,"['4', '5']","['1', '1', '3', '1']","['1', '0', '4', '1', '6', '1']",[],[],1.51
08.06.2022,Gregg P.,1,,,,,,"['5', '3']","['1', '0']",[],[],[],2.50
15.09.2021,Damm M.,2,,,,,,"['6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.41
15.09.2021,Gregg P.,0,,,,,,[],[],[],[],[],2.85
