Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,695/499,196/130,430/286,43/46,24/37,2/0
2024,38/26,24/15,13/9,-,1/2,-
2023,33/20,6/3,25/15,2/2,-,-
2021,24/12,11/5,11/5,-,2/2,-
2020,48/18,22/6,26/12,-,-,-
2019,32/32,13/9,13/18,1/2,5/3,-
2018,23/23,3/5,16/14,4/3,0/1,-
2017,35/26,6/6,21/12,4/4,4/4,-
2016,24/25,4/4,14/15,2/2,4/4,-
2015,18/23,2/5,16/12,0/2,0/4,-
2014,32/23,4/4,23/15,2/1,3/3,-
2013,17/25,8/6,7/16,0/1,0/2,2/0
2012,39/26,10/6,22/13,4/4,3/3,-
2011,23/24,6/6,16/14,1/2,0/2,-
2010,47/21,12/8,34/11,0/1,1/1,-
2009,36/31,15/10,20/16,0/3,1/2,-
2008,39/24,7/6,21/13,11/3,0/2,-
2007,31/25,6/6,22/14,3/3,0/2,-
2006,34/24,7/6,27/14,0/4,-,-
2005,36/23,17/5,16/13,3/5,-,-
2004,47/25,5/5,37/18,5/2,-,-
2003,16/11,4/2,11/7,1/2,-,-
2002,23/11,4/2,19/9,-,-,-
2001,0/1,-,0/1,-,-,-
