Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,346/283,10/23,261/205,42/32,33/23,-
2024,24/13,1/1,23/12,-,-,-
2023,24/16,-,18/12,3/2,3/2,-
2022,3/10,2/2,1/7,0/1,-,-
2021,3/14,-,3/14,-,-,-
2020,5/3,-,3/2,2/1,-,-
2019,48/29,-,43/27,5/2,-,-
2018,22/16,-,22/16,-,-,-
2017,16/29,2/11,12/14,0/1,2/3,-
2016,49/25,-,45/21,1/2,3/2,-
2015,22/15,-,17/12,1/1,4/2,-
2014,26/17,-,18/14,4/1,4/2,-
2013,12/26,0/2,6/17,3/3,3/4,-
2012,23/28,5/7,16/16,0/1,2/4,-
2011,37/21,-,26/14,4/5,7/2,-
2010,14/10,-,4/4,9/5,1/1,-
2009,10/5,-,1/2,5/2,4/1,-
2008,8/6,-,3/1,5/5,-,-
