Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/18,-,15/18,-,-,-
2024,7/3,-,7/3,-,-,-
2023,5/6,-,5/6,-,-,-
2022,3/6,-,3/6,-,-,-
2021,0/3,-,0/3,-,-,-
