Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,266/270,23/19,227/232,4/9,-,12/10
2024,21/21,6/4,15/16,-,-,0/1
2023,27/30,1/1,26/29,-,-,-
2022,19/21,3/3,16/18,-,-,-
2021,3/16,1/4,2/10,-,-,0/2
2020,4/7,-,3/6,-,-,1/1
2019,21/23,-,20/23,-,-,1/0
2018,38/25,-,33/24,-,-,5/1
2017,42/28,-,37/24,1/2,-,4/2
2016,34/29,9/4,24/24,1/1,-,-
2015,8/20,3/3,5/15,0/2,-,-
2014,12/19,-,11/18,-,-,1/1
2013,18/18,-,18/15,0/1,-,0/2
2012,14/8,-,14/7,0/1,-,-
2011,4/3,-,2/1,2/2,-,-
2010,1/2,-,1/2,-,-,-
