Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/40,41/37,-,-,-,1/3
2024,7/13,6/10,-,-,-,1/3
2023,17/17,17/17,-,-,-,-
2022,15/6,15/6,-,-,-,-
2021,3/4,3/4,-,-,-,-
