Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,19/18,-,19/17,0/1,-,-
2024,1/1,-,1/1,-,-,-
2023,6/7,-,6/6,0/1,-,-
2022,12/8,-,12/8,-,-,-
2019,0/2,-,0/2,-,-,-
