Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,182/91,21/17,131/59,6/4,-,24/11
2024,0/1,-,-,-,-,0/1
2023,7/6,1/1,4/3,-,-,2/2
2022,17/12,7/6,6/4,-,-,4/2
2021,30/16,3/3,24/13,-,-,3/0
2020,17/6,-,17/4,0/2,-,-
2019,21/7,0/2,16/5,-,-,5/0
2018,28/8,4/1,17/6,4/1,-,3/0
2017,1/3,-,0/1,-,-,1/2
2016,7/2,-,1/1,2/1,-,4/0
2015,28/15,-,28/15,-,-,-
2014,24/8,5/1,18/5,-,-,1/2
2013,1/6,0/2,0/2,-,-,1/2
2012,1/1,1/1,-,-,-,-
