Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,23/31,10/15,11/14,2/2,-,-
2024,3/6,0/1,3/5,-,-,-
2023,10/8,2/1,6/5,2/2,-,-
2022,4/8,2/4,2/4,-,-,-
2021,0/5,0/5,-,-,-,-
2020,6/4,6/4,-,-,-,-
