Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,31/27,22/12,9/15,-,-,-
2024,7/10,5/5,2/5,-,-,-
2023,21/15,15/6,6/9,-,-,-
2022,3/2,2/1,1/1,-,-,-
