Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,140/111,98/77,32/17,9/15,1/2,-
2024,12/12,12/11,0/1,-,-,-
2023,32/29,17/20,10/2,4/6,1/1,-
2022,33/28,23/18,9/5,1/4,0/1,-
2021,27/24,21/17,4/4,2/3,-,-
2020,11/7,7/4,2/1,2/2,-,-
2019,17/7,17/6,0/1,-,-,-
2018,8/4,1/1,7/3,-,-,-
