Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,314/255,200/152,95/73,15/27,0/1,4/2
2024,24/27,19/18,4/3,1/5,0/1,-
2023,44/36,33/20,8/7,3/9,-,-
2022,39/21,20/14,14/4,1/1,-,4/2
2021,9/9,9/8,0/1,-,-,-
2020,12/9,6/5,2/2,4/2,-,-
2019,24/25,5/8,13/9,6/8,-,-
2018,25/16,11/9,14/7,-,-,-
2017,50/28,33/14,17/12,0/2,-,-
2016,33/23,27/15,6/8,-,-,-
2014,1/2,1/1,0/1,-,-,-
2013,36/28,24/14,12/14,-,-,-
2012,7/13,4/9,3/4,-,-,-
2011,10/14,8/13,2/1,-,-,-
2010,0/3,0/3,-,-,-,-
2009,0/1,0/1,-,-,-,-
