Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/33,10/21,1/12,-,-,-
2024,4/13,3/8,1/5,-,-,-
2023,6/11,6/8,0/3,-,-,-
2022,1/7,1/5,0/2,-,-,-
2021,0/2,-,0/2,-,-,-
