Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Cassis (France) - Qualification,hard,header
02.09. 15:35,Cukierman D.,1,3,6,1,,,6,3,76%,71% (40/56),28% (5/18),57% (4/7),34% (20/59),29% (7/24),17% (1/6),6,61% (45/74),33% (27/83),46% (72/157),3,75% (9/12),8% (1/13),40% (10/25),[],"['2', '0']",[],[],[],2.62
02.09. 15:35,Added D.,2,6,3,6,,,8,0,71%,66% (39/59),71% (17/24),83% (5/6),29% (16/56),72% (13/18),43% (3/7),7,67% (56/83),39% (29/74),54% (85/157),5,92% (12/13),25% (3/12),60% (15/25),"['3', '1']",[],"['2', '0', '4', '0']",[],[],1.46
01.09. 20:10,Cukierman D.,2,6,6,,,,1,1,67%,81% (29/36),44% (8/18),100% (3/3),39% (14/36),74% (14/19),67% (4/6),6,69% (37/54),51% (28/55),60% (65/109),5,100% (8/8),50% (4/8),75% (12/16),"['3', '2', '6', '3']","['2', '0', '5', '1']",[],[],[],1.01
01.09. 20:10,Cardinaud H.,0,3,1,,,,0,4,65%,61% (22/36),26% (5/19),33% (2/6),19% (7/36),56% (10/18),0% (0/3),4,49% (27/55),31% (17/54),40% (44/109),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],14.00
CHALLENGER MEN - SINGLES :  Porto 2 (Portugal),clay,header
30.08. 15:45,Cukierman D.,0,6^7,4,,,,3,6,70%,60% (36/60),42% (11/26),56% (5/9),35% (17/48),48% (11/23),60% (3/5),5,55% (47/86),39% (28/71),48% (75/157),3,64% (7/11),27% (3/11),45% (10/22),"['1', '1', '4', '4']","['2', '1']",[],[],[],3.85
30.08. 15:45,Andreev A.,2,7^9,6,,,,1,0,68%,65% (31/48),52% (12/23),40% (2/5),40% (24/60),58% (15/26),44% (4/9),8,61% (43/71),45% (39/86),52% (82/157),4,73% (8/11),36% (4/11),55% (12/22),"['1', '0', '3', '2']","['4', '4', '6', '4']",[],[],[],1.24
28.08. 17:35,Cukierman D.,2,3,6,6,,,1,7,64%,68% (41/60),32% (11/34),69% (9/13),47% (21/45),67% (20/30),64% (7/11),10,55% (52/94),55% (41/75),55% (93/169),7,67% (8/12),54% (7/13),60% (15/25),"['1', '0', '2', '5']","['3', '1', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],3.24
28.08. 17:35,Forejtek J.,1,6,4,0,,,0,0,60%,53% (24/45),33% (10/30),36% (4/11),32% (19/60),68% (23/34),31% (4/13),5,45% (34/75),45% (42/94),45% (76/169),5,46% (6/13),33% (4/12),40% (10/25),"['1', '1', '3', '1', '5', '1']","['4', '5']",[],[],[],1.32
27.08. 14:35,Cukierman D.,2,7^7,7^7,,,,6,5,64%,63% (37/59),61% (20/33),50% (1/2),35% (20/57),53% (19/36),13% (1/8),5,62% (57/92),42% (39/93),52% (96/185),2,92% (11/12),8% (1/12),50% (12/24),[],"['5', '4']",[],[],[],2.73
27.08. 14:35,Ferreira Silva F.,0,6^4,6^5,,,,3,2,61%,65% (37/57),47% (17/36),88% (7/8),37% (22/59),39% (13/33),50% (1/2),5,58% (54/93),38% (35/92),48% (89/185),2,92% (11/12),8% (1/12),50% (12/24),[],"['5', '5']",[],[],[],1.43
CHALLENGER MEN - SINGLES :  Porto 2 (Portugal) - Qualification,clay,header
26.08. 14:35,Cukierman D.,2,6,6,,,,6,4,53%,76% (25/33),48% (14/29),50% (2/4),36% (10/28),60% (12/20),67% (4/6),7,63% (39/62),46% (22/48),55% (61/110),4,80% (8/10),44% (4/9),63% (12/19),"['3', '3', '6', '4']","['2', '0', '3', '1']",[],[],[],2.53
26.08. 14:35,Krutykh O.,0,4,3,,,,0,2,58%,64% (18/28),40% (8/20),33% (2/6),24% (8/33),52% (15/29),50% (2/4),5,54% (26/48),37% (23/62),45% (49/110),3,56% (5/9),20% (2/10),37% (7/19),"['2', '1']","['1', '2']",[],[],[],1.49
25.08. 14:35,Cukierman D.,2,6,6,,,,1,2,65%,81% (25/31),53% (9/17),100% (3/3),43% (12/28),54% (14/26),50% (4/8),6,71% (34/48),48% (26/54),59% (60/102),4,100% (8/8),50% (4/8),75% (12/16),"['2', '0', '6', '2']","['4', '2', '6', '2']",[],[],[],1.58
25.08. 14:35,Rocha F.,0,2,2,,,,2,2,52%,57% (16/28),46% (12/26),50% (4/8),19% (6/31),47% (8/17),0% (0/3),4,52% (28/54),29% (14/48),41% (42/102),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.31
CHALLENGER MEN - SINGLES :  Grodzisk Mazowiecki (Poland) - Qualification,hard,header
12.08. 16:10,Cukierman D.,0,3,2,,,,1,2,51%,48% (12/25),50% (12/24),0% (0/5),17% (4/23),39% (7/18),50% (1/2),4,49% (24/49),27% (11/41),39% (35/90),1,44% (4/9),13% (1/8),29% (5/17),[],"['2', '3']",[],[],[],1.54
12.08. 16:10,Weightman O.,2,6,6,,,,1,1,56%,83% (19/23),61% (11/18),50% (1/2),52% (13/25),50% (12/24),100% (5/5),6,73% (30/41),51% (25/49),61% (55/90),3,88% (7/8),56% (5/9),71% (12/17),"['2', '1', '6', '3']","['3', '1', '4', '2', '6', '2']",[],[],[],2.40
