Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,49/35,49/30,-,0/5,-,-
2024,34/12,34/11,-,0/1,-,-
2023,11/12,11/11,-,0/1,-,-
2022,3/9,3/6,-,0/3,-,-
2021,1/2,1/2,-,-,-,-
