Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,74/73,71/66,0/4,0/1,-,3/2
2024,20/21,20/20,-,0/1,-,-
2023,32/28,29/26,-,-,-,3/2
2022,18/14,18/14,-,-,-,-
2021,4/9,4/5,0/4,-,-,-
2019,0/1,0/1,-,-,-,-
