Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,460/331,409/258,19/17,28/49,1/2,3/5
2024,32/22,31/20,0/1,-,1/1,-
2023,44/32,37/24,1/1,6/7,-,-
2022,40/28,39/23,1/4,-,0/1,-
2021,11/28,11/20,0/2,0/6,-,-
2020,19/13,4/4,9/2,6/7,-,-
2019,27/21,27/14,0/1,0/5,-,0/1
2018,37/27,31/17,0/1,5/6,-,1/3
2017,39/29,38/25,-,1/4,-,-
2016,40/32,32/23,1/2,5/6,-,2/1
2015,54/21,52/17,-,2/4,-,-
2014,45/24,38/20,7/3,0/1,-,-
2013,26/15,23/12,-,3/3,-,-
2012,25/23,25/23,-,-,-,-
2011,20/12,20/12,-,-,-,-
2010,1/4,1/4,-,-,-,-
